b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
766	932	151	187	1101	1217	224	249	35	678
239	988	47	197	445	1332	89	272	36	678
1029	120	207	22	1280	376	260	76	241	335
1303	807	256	164	1472	1250	291	255	249	889
918	925	189	168	1291	1298	261	240	267	282
997	149	202	32	1162	321	240	70	336	756
589	172	107	33	922	453	168	85	344	60
837	426	170	84	1354	954	276	194	392	587
637	8	126	2	826	182	167	39	395	1722
905	646	175	132	1381	1131	272	230	469	1272
1419	300	263	64	1567	430	289	87	638	1134
35	849	6	167	188	996	38	198	776	377
811	502	162	98	1020	703	202	136	846	594
695	51	129	10	1253	478	242	93	847	594
563	440	113	90	1015	617	204	127	1024	474
642	883	128	162	783	1039	155	192	1151	1140
671	366	138	73	1409	1102	293	228	1205	1498
304	1074	55	222	469	1239	88	255	1206	1498
1186	1086	246	215	1432	1325	292	259	1287	388
58	1137	12	230	320	1407	67	287	1454	1271
132	44	28	9	266	177	57	38	1575	671
998	1254	192	240	1193	1448	232	280	1723	1492
1	802	0	158	145	946	28	186	1731	594
41	1163	10	229	439	1560	82	300	1733	594
265	6	51	1	828	282	165	57	1951	953
258	447	49	88	828	749	165	150	1951	1274
460	69	87	14	673	282	130	57	1952	953
460	536	87	107	927	863	184	174	1952	1274
1	620	0	120	188	805	37	157	1984	1634
733	1153	149	236	922	1321	188	271	2031	155
308	457	62	89	1107	868	224	174	2113	185
1083	901	222	178	1280	1082	262	215	2176	139
991	178	201	36	1130	317	228	63	2245	108
350	542	68	109	448	640	89	130	2460	1268
508	899	103	182	1032	1375	208	276	2741	587
543	290	115	60	1136	770	237	158	2805	1271
1132	123	223	23	1419	389	281	77	2926	938
166	334	34	60	594	726	118	136	2927	937
166	214	34	42	681	725	134	142	2927	1803
901	656	173	132	1327	842	266	173	2936	938
1065	596	205	110	1497	1026	295	198	2974	1187
798	976	151	187	1390	1411	274	281	2976	1187
725	1	150	0	873	150	183	33	2981	1188
950	976	195	193	1306	1318	269	263	2983	1190
904	1015	178	201	1151	1433	228	286	2984	1190
152	655	31	125	452	944	83	175	3170	1279
61	1063	13	216	392	1384	81	281	3185	1272
781	717	149	149	1174	1030	228	211	3192	1276
809	258	151	52	1008	479	191	98	3499	1128
124	276	25	58	479	607	99	127	3711	1479
492	1336	92	256	733	1554	141	300	3777	1546
248	595	49	114	675	1002	131	193	4059	446
718	497	146	96	1243	734	256	146	4133	37
600	78	123	16	1266	332	261	68	4133	1626
876	403	172	74	1515	1033	300	201	4211	929
1	1033	0	201	464	1502	97	300	4212	929
464	1	97	0	1496	805	300	164	4212	930
1032	1131	201	233	1392	1450	277	300	4213	930
1	805	0	164	330	1131	69	233	4213	930
1392	1	277	0	1503	104	300	21	4213	931
