b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
315	773	62	157	512	979	103	199	517	31
293	1087	62	223	626	1407	132	290	193	239
885	169	167	33	1127	420	215	83	478	386
171	37	34	9	583	494	119	103	254	416
237	558	44	113	623	908	121	185	321	445
1004	562	191	114	1308	869	253	176	341	445
1006	91	201	18	1293	394	259	78	290	448
833	1	172	0	1406	527	287	106	419	481
44	34	10	8	347	303	77	67	253	593
1289	33	257	8	1424	163	283	32	544	604
1258	125	240	26	1547	439	300	92	579	621
997	710	190	149	1211	918	237	194	81	661
1009	630	204	131	1370	909	281	192	88	661
1133	1224	232	245	1380	1452	282	292	78	662
1077	6	217	1	1492	405	298	79	606	691
