b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1247	319	243	70	1517	651	300	139	1979	2
155	142	28	29	625	640	122	124	6217	3
256	1379	48	263	420	1568	80	300	1432	21
451	8	86	1	586	150	114	31	1432	22
415	592	74	123	884	1039	166	210	6227	62
992	8	194	2	1358	452	276	93	1906	72
202	149	43	28	580	582	124	118	4595	72
1187	382	232	77	1360	522	270	108	4597	72
13	773	2	156	482	1246	101	253	4699	72
216	595	43	119	744	832	150	168	2886	82
1074	31	207	5	1547	609	300	117	986	84
28	53	6	9	574	466	118	91	4315	100
520	366	105	69	732	673	150	133	4441	109
540	468	103	99	981	839	192	170	946	112
819	451	160	92	1264	930	251	191	1494	134
701	442	152	87	1244	871	269	177	6476	135
853	123	179	26	1483	937	300	189	2304	158
187	26	40	6	341	157	72	33	2663	163
145	516	29	105	778	1083	162	219	1942	165
1182	176	242	32	1389	388	280	71	2024	189
1	1137	0	226	235	1379	48	276	1951	207
475	1104	96	218	742	1239	149	247	1956	207
872	1108	175	218	1248	1511	252	300	3676	212
1248	1	252	0	1489	230	300	45	3676	213
1	230	0	45	701	884	148	180	3677	213
425	454	88	90	879	786	181	155	978	225
1049	71	226	15	1216	238	264	51	1884	226
1095	69	217	12	1509	509	300	97	790	242
254	573	53	112	830	1296	173	260	3661	242
968	304	192	57	1347	692	269	133	2588	247
380	395	72	75	1227	667	231	129	2589	247
1062	1356	206	266	1222	1521	239	300	4514	250
596	687	117	141	851	850	171	176	3638	255
675	752	133	143	1161	1564	232	298	4154	266
345	700	69	140	669	1094	138	221	5898	275
850	1008	168	202	1339	1467	268	291	5664	277
501	1	103	0	823	437	167	89	6475	282
165	36	32	6	1139	437	221	89	6484	282
1	390	0	77	531	936	110	192	3726	283
443	305	89	61	728	618	149	125	4068	299
167	377	34	76	561	798	120	164	5841	312
1	538	0	112	118	663	23	136	6306	326
11	995	2	196	352	1530	69	298	4235	339
677	1183	136	236	944	1467	189	292	3616	340
641	1029	135	218	1086	1283	229	274	1941	350
1008	634	199	118	1444	1162	287	222	790	353
579	86	111	14	1026	567	204	115	578	356
12	15	3	3	323	406	67	83	599	359
1	755	0	148	640	1211	132	242	4294	379
537	276	109	57	931	737	189	150	4292	388
795	223	169	43	1418	718	296	142	3624	398
319	779	65	161	681	1192	142	245	1169	399
770	677	165	138	1244	1141	269	235	6503	400
873	691	172	141	1056	830	212	172	6504	400
699	1192	134	255	892	1403	177	300	2024	402
892	1	177	0	1285	428	264	94	2024	403
431	984	92	199	825	1334	174	269	6464	406
1266	1201	254	240	1424	1364	290	278	1944	427
174	362	37	75	484	1209	104	257	892	433
751	1	144	0	1047	262	209	54	2714	438
314	1	67	0	950	198	199	42	2715	438
54	367	13	76	581	927	127	196	5564	447
833	169	164	33	1123	686	226	144	5571	447
256	367	56	76	463	600	100	125	5747	447
46	50	11	9	560	473	117	94	2081	460
843	71	174	11	1162	367	240	68	978	481
43	12	9	2	526	544	103	109	4883	488
465	622	95	118	706	871	145	170	350	498
731	436	148	85	1138	849	234	170	4344	502
14	325	2	66	370	620	75	123	933	510
33	732	6	139	535	1187	111	231	4678	516
92	976	20	192	340	1299	73	260	3801	520
345	1	71	0	778	389	160	81	3301	522
1169	718	239	137	1436	960	295	187	4311	524
982	939	196	188	1426	1433	294	294	5301	526
129	1007	26	201	509	1386	104	277	1616	530
177	809	29	160	487	1103	94	220	5978	530
448	485	89	101	857	923	175	191	5909	552
