b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1470	142	268	30	1616	335	297	69	7	222
638	1	127	0	757	120	150	23	21	33
1316	297	253	57	1530	525	299	106	36	4171
228	357	47	69	473	467	99	93	37	4171
476	594	98	127	987	1155	205	242	55	6133
971	575	190	128	1316	870	260	188	109	1908
590	1	110	0	852	252	165	54	151	6092
1314	349	253	72	1464	491	284	102	167	507
741	811	147	175	1028	1038	208	223	169	4487
1080	129	234	24	1288	329	279	66	172	2857
292	362	59	69	414	489	84	95	186	3490
1170	1	225	0	1355	157	262	31	194	500
1397	44	265	8	1576	223	300	43	196	1113
1031	280	200	62	1200	474	237	104	197	4597
1031	525	200	107	1200	719	237	149	197	6403
137	1	27	0	306	186	61	35	204	1161
689	1275	139	267	823	1416	166	296	206	1145
598	910	114	187	835	1123	164	232	212	6197
1084	15	212	4	1265	190	251	41	213	1515
1163	176	226	34	1504	494	300	104	216	37
1035	693	201	147	1495	1161	300	247	217	37
1	494	0	104	196	693	42	147	217	37
1	1161	0	247	244	1412	51	300	218	37
244	1	51	0	1431	793	297	166	218	38
84	344	19	72	834	671	159	136	219	1515
1250	402	241	82	1489	641	290	132	222	1458
722	813	136	173	1256	1338	242	277	223	1740
1274	1006	250	215	1531	1265	300	266	224	961
1067	1206	198	251	1286	1415	240	292	234	134
316	685	60	129	606	899	117	172	240	2443
97	908	15	174	487	1219	93	234	241	2443
928	1233	182	237	1289	1536	254	299	242	2443
1	189	0	41	281	489	58	104	243	2444
967	179	184	40	1338	518	257	106	245	477
476	501	93	102	950	942	196	198	246	477
324	942	56	198	513	1163	96	244	247	477
402	1303	75	273	519	1420	97	295	250	477
125	1	23	0	719	577	150	122	251	478
1	619	0	131	148	766	30	161	252	478
619	788	104	166	824	998	146	210	254	478
1023	854	198	172	1290	1045	251	209	255	2845
114	483	21	105	390	843	75	169	255	2845
1334	695	261	144	1525	856	300	176	258	2440
775	1062	148	220	1193	1481	228	300	259	2440
1	856	0	176	207	1062	44	220	259	2440
258	1	49	0	579	329	115	66	260	2441
1	245	0	50	650	944	127	186	261	2441
1271	925	237	183	1608	1240	300	241	261	2441
698	1218	132	237	1004	1537	192	300	262	2441
1004	1	192	0	1156	153	223	31	262	2442
497	183	93	36	1566	733	300	140	263	2442
261	146	53	31	800	438	155	88	264	441
70	1140	11	247	207	1273	40	278	265	475
1	472	0	99	540	726	105	150	272	1457
478	775	96	162	759	1051	154	219	277	2891
928	466	174	101	1216	747	234	161	290	4732
773	1043	146	219	1061	1356	208	288	292	123
1119	1368	218	277	1237	1471	244	300	298	1383
773	205	146	39	921	352	172	65	299	3013
35	56	6	12	186	217	36	43	300	1384
613	443	106	98	899	686	164	148	301	591
377	455	75	91	1010	709	192	142	313	34
1186	1281	231	262	1320	1422	257	289	348	1858
559	1	107	0	681	123	131	24	357	1089
1	498	0	101	213	686	42	138	357	5820
313	1265	69	262	476	1417	103	294	365	5555
360	121	73	26	1134	676	230	137	372	5854
638	901	125	200	797	1059	153	227	378	6870
1089	747	198	151	1350	903	250	181	399	156
83	548	16	116	265	747	48	151	399	156
30	1058	6	230	344	1380	67	292	405	6168
15	674	2	140	1186	1407	232	289	407	5802
196	1183	38	260	314	1301	63	285	412	2804
511	72	108	15	971	234	196	44	413	2705
903	32	183	9	1021	155	206	33	413	6169
542	983	102	205	718	1161	137	240	419	6594
