b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
591	680	119	138	750	847	155	175	30	346
838	1170	174	238	1075	1407	225	288	36	398
40	8	8	1	1456	1297	293	260	15	409
1032	11	210	2	1401	724	289	156	4	519
193	1066	38	225	497	1408	104	298	23	529
7	161	1	33	648	811	134	166	18	801
957	224	198	49	1410	668	300	147	7	872
1242	864	253	175	1457	1099	298	224	35	875
71	864	12	175	526	1311	107	268	36	875
182	1222	39	254	561	1418	118	296	19	921
241	18	51	3	555	255	117	54	19	922
243	6	52	1	1188	971	239	193	24	1046
871	58	181	12	1440	477	295	92	27	1174
