b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
197	1277	42	269	321	1394	68	293	26	535
1043	125	221	23	1267	349	261	63	50	525
28	126	5	25	383	467	77	93	78	19
767	114	165	30	922	262	197	62	88	874
61	528	14	114	230	712	49	150	94	66
1008	22	212	6	1237	402	253	83	102	1004
317	494	66	101	664	838	136	172	111	310
1232	920	259	203	1439	1237	301	266	113	383
1071	567	220	111	1205	699	245	136	124	55
483	1145	101	229	844	1504	172	300	124	1075
223	834	48	176	888	1480	177	300	128	393
888	1	177	0	1185	165	244	36	128	394
24	714	5	145	288	934	59	190	134	595
504	557	104	107	858	831	176	164	134	783
1031	225	211	47	1473	631	301	130	136	739
490	785	106	156	1225	1506	254	300	138	967
422	902	83	192	618	1081	121	228	175	256
1171	1261	254	245	1348	1426	288	277	198	487
