b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
648	306	110	64	984	643	182	135	102	1167
141	918	28	180	808	1250	166	253	127	1095
841	299	166	61	1279	430	259	90	172	3834
1273	703	238	136	1611	1084	298	205	235	1966
396	836	83	172	835	1405	172	287	243	1039
1	571	0	116	318	916	61	184	260	3070
117	1050	20	213	707	1423	140	291	350	3312
27	146	5	31	384	527	86	116	365	2873
763	691	152	145	901	860	181	179	459	933
84	480	16	95	815	1271	156	246	501	1669
372	234	71	48	1015	1010	205	211	503	763
372	1320	71	252	562	1513	108	289	503	778
595	1	118	0	1291	771	247	142	517	3917
685	1131	122	200	1283	1636	239	292	520	3176
1343	569	251	112	1565	836	299	168	520	3342
862	1289	158	258	1042	1493	194	298	520	4173
1011	171	194	33	1209	382	231	73	1008	3521
113	481	26	98	308	665	64	134	1097	936
616	1033	116	192	859	1330	164	249	1195	2414
947	24	185	6	1221	365	241	74	1473	24
809	161	151	32	1430	416	275	84	1490	3727
1	455	0	93	489	748	102	151	1804	1645
1	1166	0	233	301	1487	62	298	1816	3489
301	1	62	0	1500	673	296	135	1816	3490
