b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
254	101	47	21	575	342	110	68	10	1920
413	983	80	195	575	1169	110	228	10	2119
23	775	5	152	514	1337	103	265	12	4037
23	125	5	24	520	686	104	138	12	4355
630	731	133	132	789	873	164	161	14	4732
1	1025	0	215	404	1450	79	300	15	3657
1	683	0	149	485	994	95	214	15	3664
1	738	0	151	685	1471	136	300	15	3961
899	1	181	0	1301	398	268	85	15	4008
913	921	183	168	1297	1384	260	264	17	4022
46	672	8	135	511	1130	98	226	17	4023
749	1015	147	198	1199	1485	241	296	17	4025
990	1	199	0	1297	386	260	80	17	4047
299	1	55	0	511	194	98	41	17	4048
731	710	143	143	1335	1277	267	259	17	4050
1332	489	250	95	1584	765	298	148	20	2420
876	741	164	155	1184	1048	224	214	20	2770
876	1219	164	230	1245	1588	234	299	20	2895
94	1	17	0	606	547	110	103	20	3330
1073	340	213	61	1535	803	300	149	28	1938
779	609	145	123	1304	1451	250	289	38	1370
618	1313	118	251	892	1565	168	300	39	488
618	30	118	6	1203	821	227	163	39	2108
586	1130	111	215	993	1557	186	299	39	2869
978	896	195	168	1308	1303	261	250	41	555
394	512	79	101	722	770	143	152	44	3720
639	613	109	129	1645	1536	300	297	60	854
18	1	2	0	1091	948	196	173	61	855
297	6	59	1	591	325	113	59	72	702
1091	349	217	64	1503	786	297	150	72	702
8	827	1	158	334	1222	66	235	73	702
486	199	92	38	1283	1060	244	201	109	488
925	12	180	2	1056	142	202	24	109	512
714	61	145	11	1507	1048	300	205	128	1985
1	1048	0	205	512	1511	99	291	129	1985
1324	719	268	139	1484	891	300	173	185	384
373	117	78	21	691	480	141	93	212	166
392	845	82	175	661	1289	136	268	212	182
870	626	178	129	1459	1446	300	300	212	217
1242	519	254	98	1459	814	300	161	212	283
392	367	82	71	768	854	156	168	212	404
1171	769	233	158	1312	910	261	186	227	1376
903	1	171	0	1416	441	275	89	235	2059
884	248	176	48	1503	829	300	162	247	4638
1	829	0	162	519	1356	111	274	248	4638
