b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
744	206	158	39	1368	566	283	112	87	103
95	1080	19	203	515	1323	106	254	89	104
503	425	101	77	824	621	165	115	521	140
1128	305	214	54	1313	445	254	82	528	165
970	314	191	58	1122	452	219	83	529	171
59	18	10	3	467	376	92	74	537	176
521	834	104	153	779	1421	156	269	125	200
1185	724	257	147	1336	874	290	180	147	203
1080	77	225	13	1355	313	283	61	341	232
82	1297	17	248	300	1511	60	290	389	233
545	708	111	137	1145	1233	237	242	389	239
905	773	182	156	1079	955	219	194	755	255
817	1011	171	195	1003	1199	209	233	93	260
1	1035	0	201	153	1187	30	231	785	260
462	1251	93	230	688	1499	141	282	603	271
887	1375	178	255	1421	1594	283	300	607	283
1	1208	0	235	177	1374	36	268	620	324
477	621	99	120	609	763	128	151	620	331
1170	912	240	174	1468	1175	298	225	803	375
1275	103	258	20	1429	248	290	50	855	393
1126	380	235	72	1289	543	267	104	406	602
937	173	200	34	1196	436	250	85	39	817
1236	173	263	34	1409	343	298	69	571	817
1080	77	224	14	1496	498	300	89	97	1766
