b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
675	476	119	98	853	647	154	131	3909	81
1317	861	247	172	1487	1025	279	203	3982	83
1319	361	247	72	1531	573	283	108	6114	109
523	1047	103	200	765	1287	148	245	6387	114
645	334	119	65	810	499	151	97	6471	116
1381	1238	267	233	1582	1441	297	263	6492	116
94	570	22	115	334	820	65	161	6954	117
1119	545	211	99	1229	689	234	128	6703	121
865	463	163	83	1215	788	232	147	7028	128
698	849	142	171	949	1092	183	212	7175	131
823	1	155	0	1105	285	211	59	7214	132
119	1358	23	259	231	1471	44	280	7487	139
209	1267	38	241	387	1444	75	277	7670	145
