b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
482	622	78	117	1528	1671	258	300	2	907
190	243	31	47	858	1510	163	300	3	909
1170	596	221	113	1476	883	276	163	3	912
1	193	0	33	281	676	52	124	4	916
335	1181	63	230	599	1417	111	274	4	921
1206	348	224	71	1409	547	265	110	4	927
1144	44	213	8	1555	560	297	107	4	928
169	311	30	61	387	500	70	94	5	933
521	1090	94	205	1035	1578	194	300	5	934
1035	1	194	0	1582	703	300	142	5	935
108	1239	22	257	371	1477	69	300	6	935
459	674	87	125	890	1097	174	208	6	937
897	1196	175	225	1188	1559	234	300	6	946
1273	748	252	151	1457	913	288	183	6	947
5	1088	1	211	380	1453	74	283	7	960
522	27	98	4	1017	516	183	86	7	962
501	1147	90	217	779	1422	143	271	10	878
