b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
311	154	61	32	507	349	100	70	67	2
162	226	32	48	809	890	160	174	13	3
67	69	12	12	174	176	35	35	7	4
1	864	0	172	605	1061	117	215	21	5
1483	431	277	84	1602	549	300	107	64	8
112	446	19	91	244	670	46	134	29	10
569	164	109	36	935	417	177	80	35	11
840	470	161	103	1409	718	268	150	40	16
1058	1156	200	227	1158	1256	222	249	49	21
813	606	165	123	970	733	197	152	11	22
179	233	36	44	573	560	116	113	50	22
800	771	152	147	1031	1002	198	193	61	24
996	884	201	170	1327	1002	264	193	77	24
1169	1041	215	213	1384	1238	255	250	111	27
439	818	82	153	1156	1189	218	222	90	28
1	1241	0	232	211	1457	39	274	91	28
