b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1020	833	221	168	1206	1011	263	208	52	2346
639	236	138	49	765	367	167	79	55	1399
890	805	185	163	1072	984	224	202	63	940
112	452	22	91	379	697	78	142	68	470
1140	1261	227	258	1330	1459	268	300	73	305
352	709	71	137	713	1010	145	198	97	937
1159	419	237	82	1465	695	296	135	120	937
802	1344	158	272	917	1464	185	300	122	627
1	484	0	95	136	619	23	118	135	205
900	327	182	64	1232	579	250	115	148	1566
63	701	13	144	253	876	54	182	173	1368
1215	832	245	176	1483	1070	298	224	177	766
480	461	96	89	800	749	163	149	177	1889
89	284	18	56	733	804	145	159	179	1995
414	1130	79	225	709	1472	137	290	183	166
286	752	63	155	427	893	91	183	186	1259
489	860	103	185	702	1074	149	230	192	1093
781	497	166	98	1096	802	231	161	192	2346
202	888	44	182	736	1409	147	281	232	1793
102	1174	21	231	285	1343	56	263	258	938
326	19	74	4	456	149	101	31	272	592
844	1221	178	245	1027	1346	216	270	273	375
821	654	168	134	1096	942	222	190	292	708
1	472	0	94	160	605	34	122	309	1061
1226	13	250	2	1479	248	300	48	322	728
467	874	93	170	702	1060	134	202	348	944
205	210	40	41	718	720	140	141	350	1458
284	628	56	129	1459	1342	300	278	361	1460
563	1	120	0	1434	1234	296	251	362	1461
375	16	68	3	550	171	100	32	365	376
1126	824	236	158	1406	1330	299	266	385	765
1	1075	0	215	575	1498	117	300	386	765
580	10	118	2	783	212	156	39	386	766
649	8	133	2	816	184	168	39	415	788
388	1340	79	272	552	1474	115	300	438	148
552	1	115	0	679	126	142	26	438	149
962	644	197	129	1445	1079	300	222	457	814
1	1079	0	222	321	1400	61	284	458	814
1025	928	229	192	1160	1050	262	221	486	1317
710	255	150	46	922	459	192	91	510	1410
1001	1	201	0	1375	314	282	64	526	942
275	737	57	151	510	923	108	190	528	1727
120	1221	25	245	274	1341	56	269	590	375
317	243	62	49	608	500	127	106	615	955
999	91	199	18	1435	511	289	105	622	473
9	347	2	66	1135	1030	233	207	632	1941
632	610	126	126	1041	1065	212	221	636	884
454	852	91	177	610	985	124	204	642	1751
966	1	205	0	1432	320	300	64	649	876
1	320	0	64	327	580	68	118	650	876
977	1123	205	226	1250	1369	263	275	653	1513
320	1365	67	274	436	1486	92	300	654	1513
956	1	193	0	1427	425	286	85	672	2229
343	934	68	193	795	1050	170	221	676	1317
997	515	194	104	1321	874	254	170	688	944
