b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1198	1271	233	259	1368	1468	269	300	3146	8
1368	1	269	0	1523	159	300	33	3146	9
1	159	0	33	171	337	31	67	3147	9
300	1304	60	266	462	1468	93	300	3429	8
462	1	93	0	717	346	143	68	3429	9
278	651	52	143	579	981	111	212	6856	43
776	1275	155	259	985	1495	192	300	7062	44
1218	1128	233	233	1441	1255	283	262	7072	11
1235	1055	230	211	1414	1377	265	277	8234	42
33	741	7	157	422	1469	86	299	8333	49
544	566	109	116	1392	1172	280	246	9971	21
261	1127	54	236	454	1289	91	268	9973	21
7	1096	1	229	393	1475	74	300	10030	38
393	1	74	0	1219	778	236	153	10030	39
1	664	0	136	386	1061	77	220	10043	13
273	658	48	141	734	1060	141	224	10047	16
33	472	6	97	346	786	69	163	10048	18
556	454	113	102	753	649	150	139	10050	16
195	680	42	137	658	1242	140	257	10052	26
964	715	197	150	1257	997	256	208	10055	28
1	1027	0	222	191	1219	37	259	10056	25
616	454	113	91	859	815	156	160	10061	19
819	140	148	30	1393	623	264	128	10061	21
513	768	101	150	775	1080	154	213	10062	19
648	437	132	91	1016	915	207	190	10065	55
1272	1155	244	241	1536	1435	299	300	10067	28
1072	10	212	2	1467	485	292	97	10068	26
498	168	99	34	1022	729	203	148	10069	26
797	247	154	52	1554	1046	300	209	10070	29
1	1046	0	209	418	1509	78	297	10071	29
1144	263	218	53	1549	745	300	147	10071	30
1	745	0	147	335	1063	72	217	10072	30
680	584	130	121	907	977	174	202	10075	32
24	1248	5	258	158	1400	30	286	10085	30
162	1	33	0	370	385	74	78	10087	18
596	745	120	158	1018	1421	203	289	10123	49
1090	739	226	158	1217	886	253	189	10126	51
893	1	188	0	1362	530	280	112	10126	52
11	768	2	165	314	1003	59	209	10127	51
332	348	68	76	467	509	97	111	10128	53
