b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
627	754	130	143	1107	1170	225	222	111	5306
721	806	150	161	1292	1289	267	264	132	1261
786	249	157	49	1111	623	230	132	188	205
645	84	130	17	1187	831	241	168	299	1292
726	31	148	6	1071	405	220	82	306	3357
67	609	15	116	260	814	56	160	307	3982
1029	779	210	154	1447	1485	293	295	451	870
134	123	27	26	658	517	130	105	454	1908
300	357	58	70	1075	967	211	191	459	5232
1243	774	254	147	1462	967	300	189	510	186
1	967	0	189	605	1491	126	299	511	186
1	416	0	85	513	911	95	181	544	1956
52	449	11	89	325	601	64	120	585	1262
1136	44	228	8	1231	139	250	30	794	5016
7	336	1	62	614	730	124	144	988	3910
1060	947	225	188	1425	1352	300	273	989	3910
51	1216	11	247	435	1482	91	300	1314	6029
465	150	97	30	774	523	158	104	1314	6030
107	5	20	1	1557	869	298	164	1323	3358
306	380	64	77	459	539	96	110	1425	1971
204	858	41	167	905	1512	184	297	1427	1014
819	25	167	5	1063	255	215	50	1427	1015
50	1002	9	199	563	1360	112	271	1537	3897
877	116	181	23	1221	460	254	94	1683	539
540	209	111	39	790	396	162	77	1756	4606
1	1011	0	200	260	1457	50	290	1839	2553
187	185	33	35	720	946	147	201	1895	205
686	326	140	66	1476	931	300	187	1895	206
1003	705	205	148	1413	1107	291	230	3566	3916
33	247	6	51	699	906	140	181	3569	3941
45	947	10	188	523	1484	109	300	3572	3910
495	1	96	0	735	241	139	43	3681	5285
