b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
858	717	184	153	1297	1221	279	260	78	689
552	741	104	143	1079	1313	209	258	136	325
295	1	62	0	842	548	173	113	155	193
957	254	196	49	1455	667	300	136	155	193
909	550	186	101	1252	919	257	179	187	143
438	803	86	155	925	1421	177	271	192	143
8	527	1	108	564	995	121	209	196	246
17	1206	3	248	297	1418	62	292	203	150
883	1130	177	231	1189	1481	239	300	272	155
879	9	179	2	1254	401	255	81	299	673
1062	1	218	0	1432	505	295	100	357	1061
709	815	147	164	1104	1088	228	218	364	1102
562	290	116	60	1317	993	271	205	370	156
465	586	95	123	953	1120	199	238	376	57
855	51	178	9	1294	499	271	103	379	342
159	332	32	70	658	1033	134	213	380	53
669	375	142	81	1236	947	261	202	381	1096
1025	7	214	1	1365	461	284	97	382	111
304	426	65	92	924	1033	200	220	383	1096
226	510	46	108	587	829	122	173	391	23
32	937	6	197	439	1384	90	292	395	1110
606	1181	122	240	859	1469	174	300	543	784
1012	1	201	0	1415	436	284	89	560	571
729	471	151	95	1488	897	300	182	561	598
315	1182	63	242	636	1449	132	300	565	631
803	931	168	193	1044	1255	221	265	565	633
210	746	44	154	766	1395	157	289	566	634
754	936	154	191	1150	1388	236	286	566	635
934	38	191	7	1276	623	262	132	568	775
374	1	75	0	904	546	180	107	570	624
121	698	23	147	402	944	81	201	570	626
202	278	41	60	1279	1295	259	271	572	586
87	78	15	15	652	695	132	141	586	429
851	437	170	89	1254	857	252	175	586	429
933	792	197	165	1444	1234	300	256	597	214
1179	477	244	98	1444	771	300	161	597	229
81	1	18	0	1436	1144	296	236	599	170
768	1041	161	218	1304	1426	273	300	640	389
1209	1090	241	230	1491	1340	299	281	644	389
198	972	42	204	671	1363	138	283	791	854
739	1153	156	241	882	1280	186	268	838	707
383	89	80	17	1292	738	267	149	853	771
411	30	86	6	1223	905	253	192	853	772
163	713	33	148	507	1028	104	215	882	157
468	534	97	105	1412	1355	292	273	882	169
330	1328	65	267	525	1497	103	300	1021	144
