b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1056	448	208	90	1213	716	242	147	531	21
675	1	139	0	911	242	187	51	118	210
60	227	11	47	228	397	45	82	241	213
671	635	133	137	804	801	155	167	392	321
972	351	191	69	1221	724	243	147	188	442
460	21	92	5	798	312	159	64	403	756
1333	343	263	67	1519	541	300	107	2	778
1182	1342	233	267	1332	1502	264	300	590	2041
961	912	183	185	1095	1070	214	221	202	2353
649	175	128	34	881	398	176	81	512	2510
654	44	129	9	881	272	176	56	512	2568
649	415	128	84	856	609	171	124	512	2615
655	777	131	156	811	948	167	195	483	2786
184	497	35	100	573	1115	109	217	302	2871
1075	1245	212	261	1202	1376	236	287	548	2931
138	228	27	46	341	466	66	94	137	3371
722	1204	141	253	874	1423	173	300	92	4557
