b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
526	544	105	105	1327	1351	264	270	11	2166
303	159	56	30	931	876	176	171	28	753
76	945	13	188	664	1507	126	300	43	2165
686	89	130	18	1224	677	237	133	43	2166
1378	1	267	0	1547	192	300	37	43	2167
16	344	3	66	1074	1569	207	300	44	2167
1085	1	209	0	1566	598	300	112	44	2168
1	598	0	112	1027	1565	196	300	45	2168
1027	1	196	0	1548	431	300	85	45	2169
1413	1276	266	255	1603	1466	300	289	53	750
44	35	9	7	1215	1346	235	260	54	751
747	125	158	24	1006	371	209	74	55	753
626	329	123	58	957	646	189	121	60	5004
