b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
336	94	62	17	522	402	100	81	55	86
978	1002	180	202	1387	1354	252	266	79	124
774	283	146	48	1430	554	274	102	82	132
777	205	140	43	1376	580	249	119	102	169
818	1063	158	211	1319	1503	255	299	104	171
894	445	166	88	1368	1201	258	239	106	176
174	977	35	201	321	1134	62	232	113	188
463	593	81	110	1204	1087	225	203	115	191
567	1089	109	211	1197	1471	248	298	142	224
79	40	14	8	889	590	174	123	164	252
262	7	49	1	938	473	173	85	165	253
1048	61	185	10	1674	607	300	111	174	261
893	32	172	6	1484	575	274	101	185	271
1208	535	222	108	1603	991	299	202	186	273
832	748	165	150	1427	1368	279	268	199	287
471	26	86	5	1129	938	212	183	203	292
400	832	74	172	845	1099	156	220	220	312
863	940	160	197	1119	1263	209	261	220	313
1142	281	213	53	1533	481	287	90	220	314
415	464	79	89	1244	980	234	194	222	318
396	206	70	38	769	436	144	82	245	346
659	51	122	9	1357	761	259	154	269	371
313	276	62	55	908	462	172	92	276	379
1143	130	216	27	1580	827	294	157	277	380
755	52	136	11	1473	526	264	101	278	381
326	199	64	40	689	466	130	90	280	382
841	1079	158	212	1056	1458	199	285	283	384
360	361	66	70	1477	1384	269	260	284	385
1290	390	246	71	1465	683	279	124	302	397
930	1	179	0	1397	318	267	61	376	439
1176	142	222	31	1393	273	268	58	402	457
1022	17	187	3	1363	522	255	103	413	465
125	1045	24	205	580	1527	111	299	414	465
246	56	38	10	601	633	107	124	425	473
917	358	177	71	1403	536	272	108	426	474
138	1	25	0	457	114	92	25	427	475
897	818	178	161	1441	1129	283	223	429	477
1234	20	229	4	1558	246	295	47	444	488
510	667	98	128	848	921	157	179	446	489
196	634	37	120	1170	1416	215	267	467	506
163	598	28	114	872	1097	153	209	500	527
222	404	39	79	378	860	67	164	503	529
1356	966	251	191	1615	1179	295	229	507	532
795	1120	141	209	1224	1547	218	289	514	536
781	76	142	15	1294	691	239	141	521	543
979	1071	184	213	1275	1370	241	270	522	543
517	584	101	120	1374	1175	268	229	524	545
333	807	64	158	700	1141	132	218	558	571
406	1062	74	202	776	1479	138	278	581	585
63	142	11	27	947	1076	177	199	599	600
812	492	157	94	1421	807	274	155	630	620
156	103	27	18	784	413	144	75	632	621
474	707	92	135	1319	1290	245	240	637	624
917	1010	178	202	1326	1162	252	232	651	630
1193	1040	220	197	1464	1281	276	248	653	631
22	431	4	92	1571	1071	300	218	662	636
894	882	176	175	1125	1064	224	213	667	638
6	544	1	109	818	1203	163	239	679	645
473	1024	84	192	1331	1381	241	261	680	646
537	1016	100	194	829	1293	159	256	687	650
273	963	52	185	1074	1249	195	234	689	651
330	173	60	34	1160	404	211	80	692	653
1	281	0	58	449	596	85	124	713	661
488	696	91	142	1084	1229	205	244	718	663
550	405	102	78	1026	944	190	178	727	668
606	622	112	121	835	1073	151	207	750	679
1066	999	200	197	1266	1388	236	269	752	681
84	1045	16	212	409	1364	82	277	782	697
1096	595	211	119	1394	919	270	184	810	710
338	38	67	8	561	184	112	36	810	710
165	1033	34	206	358	1326	69	264	811	710
1005	664	194	129	1501	1488	289	284	815	712
746	759	137	154	1274	973	234	194	831	721
253	363	49	74	620	636	118	133	832	722
733	1	130	0	1615	543	293	105	849	731
734	993	140	206	1223	1250	234	262	867	739
392	745	66	144	806	1018	138	192	912	758
655	594	123	117	1414	1098	275	217	925	764
362	31	68	6	622	162	117	31	925	764
186	1143	36	219	600	1562	112	300	927	765
718	103	131	21	1195	433	219	90	927	766
354	533	67	104	987	1112	192	214	950	775
310	989	55	196	660	1376	121	275	975	787
551	608	96	119	1504	1157	275	227	980	790
1054	598	189	114	1578	1028	284	198	989	794
