b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
596	59	114	10	1068	471	198	84	19	55
1162	1175	223	219	1400	1461	265	270	39	162
406	1196	76	222	526	1330	101	249	57	265
1172	15	234	3	1376	504	271	96	69	342
489	894	92	167	649	1484	123	275	73	361
294	1	47	0	847	551	149	104	87	452
1	1104	0	209	306	1431	60	274	104	566
72	200	14	36	312	379	61	73	171	930
253	1229	42	245	490	1522	87	300	191	1021
480	664	86	126	898	1227	161	227	253	1406
1091	431	203	85	1254	633	232	124	293	1635
33	1	7	0	159	127	31	24	301	1671
1131	1123	205	212	1326	1354	247	261	325	1773
834	44	154	10	1259	394	240	80	463	2417
523	802	96	159	744	1395	141	282	541	2834
762	13	144	3	1052	289	207	63	541	2835
866	312	166	63	1257	1065	235	201	544	2849
45	981	9	182	576	1277	113	240	549	2864
660	25	129	4	1180	718	231	141	551	2877
542	16	106	3	669	142	129	26	553	2884
287	622	56	123	450	788	86	154	555	2889
260	1149	45	221	422	1312	74	251	559	2910
1199	853	220	153	1656	1459	300	263	611	3126
1	931	0	193	177	1107	36	229	613	3130
1	1176	0	212	953	1629	166	290	622	3181
1461	665	255	128	1690	997	300	195	622	3185
279	915	53	179	487	1177	97	234	623	3185
669	973	133	190	1045	1339	200	257	623	3187
934	302	180	64	1266	920	247	193	626	3197
858	918	158	165	1020	1097	190	200	628	3204
803	90	148	15	1105	383	198	64	632	3228
1400	1	269	0	1565	158	300	30	638	3263
1	158	0	30	328	489	62	92	639	3263
1051	230	184	43	1338	840	235	160	641	3269
149	485	29	88	483	949	92	173	643	3272
800	652	152	124	1424	1580	269	300	643	3273
1	453	0	87	469	1047	87	202	644	3275
680	878	123	162	865	1033	159	192	646	3282
1062	1054	195	194	1450	1537	263	284	646	3283
1308	1232	249	232	1493	1417	285	269	651	3306
967	1246	177	239	1136	1415	209	270	653	3314
799	957	142	187	1160	1382	206	264	654	3319
682	349	133	70	966	681	184	130	655	3320
441	13	88	2	770	378	151	74	657	3330
45	1060	10	202	271	1297	53	247	659	3336
294	521	56	101	457	685	88	134	668	3390
1259	440	230	79	1587	867	290	157	681	3475
68	435	14	81	221	593	42	109	684	3486
1277	477	226	99	1644	807	293	160	701	3559
1127	680	202	131	1295	857	238	170	704	3575
943	444	179	84	1468	1125	276	207	706	3580
1200	712	221	139	1585	1246	299	250	727	3685
155	268	32	52	602	963	115	184	728	3694
459	56	87	9	762	462	144	87	736	3741
997	450	180	86	1297	965	235	184	744	3779
962	1055	176	204	1246	1354	225	255	750	3807
1288	434	247	85	1571	626	300	121	767	3920
1063	1	201	0	1541	399	285	73	768	3925
9	1207	1	236	323	1517	64	300	771	3936
323	1	64	0	738	652	140	121	771	3937
1369	747	238	135	1513	1189	266	224	775	3975
436	85	88	13	930	807	183	148	782	4012
922	6	180	1	1538	399	300	78	785	4023
98	164	17	28	363	398	61	67	786	4026
1173	411	211	79	1498	1044	268	197	800	4115
988	1119	177	213	1245	1328	220	248	801	4122
1170	1298	217	258	1320	1477	253	300	807	4149
494	93	101	16	823	690	159	127	809	4157
1071	315	209	59	1266	490	245	91	809	4159
151	996	26	177	402	1237	70	220	829	4279
418	95	79	14	643	357	122	63	838	4328
1103	148	202	28	1681	638	297	110	863	4487
993	13	180	2	1168	193	211	33	868	4507
55	67	9	13	246	256	44	49	872	4526
46	108	8	19	276	315	54	59	877	4556
1083	176	195	32	1339	445	240	80	882	4595
417	738	80	135	683	1403	129	259	893	4660
1150	75	209	13	1332	387	241	68	898	4683
530	1411	87	265	793	1595	135	300	899	4684
793	1	135	0	1510	680	268	125	899	4685
1366	132	241	25	1608	391	290	76	902	4698
210	697	39	134	876	1181	155	220	905	4714
1031	681	187	134	1281	989	232	193	923	4828
1098	728	208	128	1378	1008	255	174	940	4935
1160	272	214	51	1442	562	266	105	941	4938
557	23	106	4	896	493	178	104	955	5023
166	1	32	0	553	301	106	60	956	5025
518	22	108	4	728	245	147	46	957	5031
996	80	182	13	1211	286	220	49	961	5053
952	1237	174	223	1476	1689	262	300	962	5058
1476	1	262	0	1665	204	300	40	962	5059
1329	214	248	38	1548	424	287	77	963	5064
641	1399	117	263	844	1605	153	300	975	5133
452	607	89	113	593	888	118	170	987	5209
829	551	160	105	1001	731	190	138	1005	5343
1090	83	202	17	1461	579	271	110	1006	5353
665	604	127	114	854	792	161	148	1007	5353
