b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
77	735	14	148	253	933	49	188	752	430
77	54	14	10	253	237	49	47	752	711
125	287	23	56	366	767	71	152	812	574
94	1174	17	217	395	1513	77	285	812	885
13	284	2	62	348	711	71	149	1807	1495
201	776	40	161	357	939	73	195	1807	1497
966	1154	204	232	1331	1500	275	300	3467	1526
966	172	204	36	1380	604	285	122	3467	1833
332	585	70	111	734	1057	156	208	3468	1273
484	1	102	0	734	277	156	58	3468	1729
295	372	62	76	583	678	120	138	3869	1355
368	1391	78	268	551	1557	113	300	3869	1723
1165	1	241	0	1293	141	270	32	4125	1395
1131	902	233	163	1293	1110	270	210	4125	1581
1134	1	234	0	1293	206	270	46	4125	1741
1127	1140	232	215	1293	1352	270	263	4125	1743
1131	1054	233	196	1293	1262	270	243	4125	1850
132	1	26	0	495	328	97	63	4684	1455
689	1213	133	235	889	1429	174	278	4692	1450
777	1032	152	209	889	1164	174	234	4692	1451
298	1316	61	251	466	1533	95	295	4863	2014
298	1	61	0	549	346	111	69	4863	2057
298	1135	61	219	549	1479	111	287	4863	2193
363	6	74	1	549	238	111	47	4863	2319
298	758	61	147	549	1103	111	216	4863	2349
298	1158	61	215	549	1500	111	282	4863	2352
298	60	61	12	549	402	111	81	4863	2469
316	485	64	95	543	720	110	143	4863	2470
424	275	77	59	745	700	138	143	4864	1425
424	138	77	27	745	604	138	119	4864	2015
424	383	77	76	745	664	138	135	4864	2057
433	24	79	4	745	244	138	51	4864	2194
424	275	77	54	745	547	138	111	4864	2319
424	1140	77	223	745	1412	138	280	4864	2349
433	8	79	1	745	379	138	72	4864	2353
424	439	77	88	745	860	138	171	4864	2469
325	1338	69	256	571	1560	117	300	4946	1661
834	69	168	14	1025	257	209	54	5223	883
834	1148	168	235	1025	1336	209	275	5223	1210
834	308	168	65	1017	488	208	104	5223	1219
834	1030	168	209	1025	1218	209	249	5223	1220
892	1410	180	274	1013	1528	207	300	5223	1247
892	373	180	74	1025	503	209	102	5223	1269
834	673	168	130	1025	861	209	170	5223	1270
499	582	111	116	678	773	148	156	5253	1849
1138	579	231	120	1440	928	297	198	5534	234
229	98	44	17	553	362	108	69	6025	2430
266	129	51	22	502	381	97	72	6226	1499
698	478	131	94	951	679	184	136	6379	350
974	965	216	194	1239	1311	271	265	6391	1728
248	965	48	196	515	1316	103	267	6411	147
69	344	13	68	412	742	80	150	6499	2940
542	614	107	127	952	1021	185	205	6628	1611
1333	751	262	144	1518	938	297	179	6676	2501
1175	189	231	35	1518	782	297	152	6676	2505
1	408	0	75	194	604	39	115	6677	2502
1089	656	212	138	1485	1030	290	211	7144	1209
1	1280	0	244	225	1464	45	280	7145	1026
706	146	130	26	960	386	179	73	7164	1499
84	787	16	161	260	984	54	203	7214	2383
1298	683	262	135	1461	864	294	172	7298	1094
39	1203	7	241	147	1311	28	262	7327	3001
1109	151	206	27	1369	433	257	82	7379	1499
948	1066	205	217	1378	1448	293	300	7517	61
572	1	115	0	893	315	180	64	7726	2002
695	1184	143	230	1005	1523	207	300	7791	2580
997	595	189	119	1137	776	221	160	7829	2833
