b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
572	600	112	122	1022	761	206	154	38	369
952	448	194	92	1498	986	300	196	546	14
1	986	0	196	495	1471	107	300	547	14
1323	156	256	29	1545	400	300	77	548	15
1	400	0	77	1362	1560	259	300	549	15
1362	1	259	0	1550	172	296	34	549	16
42	172	8	34	1491	1395	298	283	550	16
83	1	15	0	736	431	146	86	551	17
745	925	158	175	880	1040	186	199	680	107
739	1301	157	266	880	1421	186	291	680	112
1088	308	225	67	1430	652	299	143	688	104
794	471	155	95	1027	706	201	142	737	889
555	1136	107	219	710	1279	139	249	740	888
707	894	153	178	1245	1474	265	300	794	177
1245	1	265	0	1425	162	300	31	794	178
1	162	0	31	1383	1501	279	300	795	178
1383	1	279	0	1471	89	300	21	795	179
1	89	0	21	1268	1350	247	265	796	179
880	1370	181	269	1007	1506	210	300	797	179
1007	1	210	0	1405	451	300	101	797	180
1	451	0	101	611	1118	124	238	798	180
1014	1	189	0	1632	750	300	128	892	60
5	756	1	129	655	1397	134	261	893	60
595	162	120	33	890	457	183	93	893	61
1052	1	215	0	1246	240	257	51	893	62
1252	209	258	42	1454	425	297	83	893	63
1	509	0	98	184	924	37	181	894	63
1484	841	261	169	1699	1269	299	248	895	40
886	962	158	194	1186	1272	207	246	895	59
565	986	114	191	814	1110	162	213	1095	888
519	1134	96	233	754	1368	141	280	1505	912
834	662	175	133	1021	830	217	170	1628	853
550	807	113	156	895	1213	180	232	1641	241
1	762	0	149	145	1136	30	217	1670	8
220	608	46	130	835	1128	172	237	1761	895
1050	147	214	34	1320	392	268	84	1761	897
1090	830	233	170	1307	1060	278	219	1763	853
170	44	35	7	1076	677	218	135	1770	868
521	91	104	17	1058	474	214	94	1770	898
97	93	19	21	541	625	107	132	1799	899
1150	54	234	9	1502	470	300	87	1805	907
1	940	0	197	555	1434	118	300	1810	906
238	135	49	23	581	554	115	105	1858	268
402	1080	86	234	660	1348	144	294	1984	285
483	1080	100	234	675	1279	142	278	1985	285
47	722	12	154	481	1032	111	225	1987	285
1118	722	215	154	1500	1074	300	233	1989	285
32	722	6	154	287	894	66	195	1990	285
994	894	207	195	1130	1032	237	225	1990	285
859	722	175	154	1415	1166	300	253	1991	285
1	1166	0	253	112	1279	24	278	1992	285
455	693	90	140	939	869	188	179	2064	281
1074	1172	221	243	1388	1415	283	290	2070	266
742	776	152	157	1007	1057	206	215	2080	284
269	1	55	0	571	309	119	66	2084	271
231	101	47	19	372	250	76	50	2224	284
534	771	109	156	809	1057	166	215	2226	284
842	1118	173	232	988	1244	204	259	2250	281
999	1198	206	244	1331	1483	272	300	2250	283
434	554	85	105	626	868	127	170	2251	264
1	269	0	56	1168	1480	232	300	2251	281
1168	1	232	0	1479	353	300	77	2251	282
1	353	0	77	585	738	123	158	2252	282
604	476	127	101	968	815	204	177	2252	286
1207	764	236	163	1514	1120	300	239	2257	282
11	1038	2	219	363	1407	77	299	2258	282
379	1	80	0	1210	816	245	165	2258	283
441	1077	95	218	774	1386	166	283	2292	284
718	1	145	0	1066	197	214	39	2333	286
180	67	34	15	708	268	139	54	2334	286
822	1	174	0	1132	315	239	68	2339	285
1005	315	206	69	1130	689	230	149	2379	282
320	315	66	69	796	732	166	157	2381	282
908	885	175	185	1208	1301	235	270	2431	328
447	891	85	159	1171	1359	230	256	2494	309
361	30	77	5	838	563	162	102	2495	255
352	1149	75	220	521	1475	107	279	2495	308
