b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
109	1244	21	248	440	1514	84	300	1079	127
395	196	78	43	909	698	186	149	1261	150
305	342	57	67	424	470	80	92	45	466
388	114	77	18	588	628	119	126	838	505
604	425	126	93	1027	993	212	207	827	714
96	1	21	0	784	716	161	152	832	718
1	448	0	93	916	1462	188	298	8	1013
927	4	191	1	1325	391	274	82	8	1014
1068	1	221	0	1325	246	274	51	8	1033
289	101	59	20	963	734	191	145	151	1180
1268	956	254	198	1499	1193	300	245	621	1202
1	1193	0	245	254	1462	50	298	622	1202
1	418	0	88	640	1339	123	272	512	1229
585	262	114	53	716	404	140	81	513	1243
693	610	135	118	1208	1137	237	223	845	1331
1210	1286	238	256	1517	1473	300	294	846	1331
1309	998	262	207	1506	1389	300	285	1206	1609
745	941	142	182	1045	1532	204	300	156	1622
14	300	2	61	614	782	116	152	120	1767
1321	287	259	55	1516	454	300	90	97	1771
385	1187	79	238	664	1457	134	291	544	1773
601	101	124	21	1055	515	218	107	421	1792
613	124	124	26	1002	589	202	119	708	1802
77	692	15	137	264	924	51	182	136	1908
1	554	0	112	428	1063	81	212	393	1911
561	660	108	129	739	833	144	164	393	1912
553	706	108	152	957	979	189	207	446	1944
837	55	163	11	1243	482	249	101	447	1946
1225	129	237	28	1441	296	284	63	162	1948
738	450	143	91	1190	845	235	170	468	1956
729	176	141	37	1085	712	215	149	468	1957
325	364	64	74	1114	1034	222	215	541	1991
1277	792	258	170	1473	969	300	208	453	2109
22	1082	4	231	368	1400	77	298	454	2109
241	799	46	165	460	1068	93	222	496	2242
241	934	46	193	460	1196	93	249	496	2254
588	1	124	0	1038	605	211	119	502	2260
1	159	0	33	334	706	68	146	509	2273
240	945	48	192	454	1171	91	237	469	2275
985	621	199	127	1492	1193	300	241	481	2275
1	1193	0	241	349	1527	63	300	482	2275
240	482	48	96	454	707	91	141	469	2312
985	158	199	31	1492	729	300	145	481	2312
1	729	0	145	380	1118	69	215	482	2312
765	1024	150	207	1199	1289	236	260	473	2325
391	962	75	198	608	1176	119	241	476	2328
285	1035	59	213	693	1463	141	300	481	2351
1381	1094	263	230	1552	1440	297	298	556	2397
1385	684	267	150	1552	856	299	183	177	2411
168	256	35	54	473	532	99	112	883	2495
981	102	202	22	1471	386	300	82	883	2498
1	386	0	82	1094	1401	224	290	884	2498
665	229	139	43	1212	621	249	120	884	2499
1055	798	208	157	1313	1080	258	213	109	2747
550	30	99	7	1419	1058	278	221	367	2766
1219	670	251	138	1418	944	293	196	368	2767
693	250	138	53	960	606	190	123	758	2871
209	487	43	102	725	781	157	168	742	3844
883	111	166	24	1258	458	244	97	1188	6974
36	657	7	137	768	1453	154	300	1261	7004
779	885	156	184	1332	1420	277	300	1261	7005
646	55	126	13	1076	685	216	143	932	7070
19	1146	4	223	389	1457	76	284	1265	7181
