b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1224	220	239	39	1450	520	279	99	59	9
1224	835	239	153	1450	1135	279	213	59	169
1241	1417	242	260	1408	1626	271	299	59	584
1224	72	239	12	1450	417	279	78	59	1464
610	342	116	70	920	657	173	128	60	312
614	1321	117	246	920	1550	173	289	60	463
442	26	85	6	975	586	182	113	60	512
410	6	78	1	583	282	112	56	60	515
614	1187	117	227	975	1446	182	276	60	892
614	548	117	105	1068	1047	200	196	60	1111
410	357	78	79	618	590	118	125	60	1138
614	334	117	63	1068	688	200	128	60	1323
387	178	74	32	610	443	116	83	60	1465
410	1023	78	204	533	1156	102	230	60	1581
