b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
612	755	116	132	1236	1593	228	291	2515	12
1152	746	225	153	1517	1073	300	221	2517	46
1	992	0	204	285	1227	56	250	2518	46
1	737	0	142	172	921	32	177	1783	73
204	708	45	139	678	1206	143	243	828	98
364	697	73	143	617	1274	128	266	1694	111
1	879	0	178	429	1310	91	270	510	171
841	1173	164	237	1450	1475	285	298	1990	177
15	81	2	17	458	577	88	112	1991	178
1091	749	217	155	1503	1211	300	249	2181	309
1	1211	0	249	232	1445	51	300	2182	309
232	1	51	0	657	489	146	110	2182	310
567	882	115	183	813	1151	168	241	1334	317
155	424	29	86	674	1038	131	216	2280	342
557	82	102	16	839	376	160	79	2472	368
21	342	3	77	439	705	81	146	2201	477
21	71	3	15	183	226	34	44	1783	518
257	1010	52	204	507	1274	107	261	312	571
16	579	3	107	210	1140	40	216	2616	605
423	615	88	113	952	1044	188	194	25	664
