b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
983	1	194	0	1483	515	300	105	3	130
1322	1204	259	239	1461	1521	287	300	4	176
395	934	80	195	604	1236	129	263	5	214
1070	59	223	12	1184	580	247	117	5	235
1	50	0	10	223	286	45	58	6	284
290	1111	57	233	515	1326	103	278	7	475
630	333	127	64	782	524	159	105	7	477
759	1	156	0	1114	577	230	120	8	611
329	796	62	167	572	1191	113	247	10	785
149	138	32	30	327	311	67	64	11	948
521	1167	106	232	662	1427	136	287	11	996
1127	741	232	155	1234	851	255	179	11	1059
952	472	190	95	1299	1097	261	222	12	1198
148	1073	34	233	332	1256	73	272	13	1280
444	353	98	83	705	1009	152	221	13	1283
1056	603	224	123	1211	819	255	168	13	1325
1056	204	224	36	1289	434	270	82	13	1328
948	448	190	90	1103	596	222	120	14	1401
135	331	26	62	349	631	70	122	15	1463
501	606	101	120	688	828	142	166	15	1486
260	1157	54	237	425	1300	87	266	16	1681
711	266	143	54	916	565	182	112	16	1721
