b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
886	1305	168	232	1250	1704	229	300	1033	537
1250	1	229	0	1644	388	300	70	1033	538
1	388	0	70	1408	1792	230	300	1034	538
1408	1	230	0	1795	387	300	70	1034	539
1	387	0	70	1334	1723	230	300	1035	539
1334	1	230	0	1726	397	300	71	1035	540
1	397	0	71	1298	1673	233	300	1036	540
1298	1	233	0	1680	388	300	69	1036	541
1	388	0	69	1261	1653	229	300	1037	541
1261	1	229	0	1673	415	300	71	1037	542
1	415	0	71	1278	1708	226	300	1038	542
1278	1	226	0	1675	398	300	74	1038	543
1	398	0	74	1214	1606	227	300	1039	543
1220	8	228	1	1625	413	300	72	1039	544
598	1479	108	265	817	1697	143	300	1040	544
1	413	0	72	477	865	84	150	1040	544
817	1	143	0	1787	989	299	159	1040	545
1	997	0	161	848	1831	141	300	1041	545
848	1	141	0	1743	868	300	153	1041	546
1	868	0	153	837	1698	148	300	1042	546
837	1	148	0	1736	896	300	151	1042	547
1	896	0	151	775	1678	146	299	1043	547
787	1	148	0	1640	877	300	155	1043	548
1	877	0	155	305	1182	50	205	1044	548
