b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
265	684	54	142	591	955	127	202	96	1907
503	974	96	194	672	1141	129	227	138	5578
157	1	30	0	398	248	82	53	207	1309
853	905	179	200	1145	1303	240	284	213	7298
1137	778	240	159	1281	922	267	186	218	5880
186	1083	31	240	412	1297	72	279	229	2553
61	1101	11	225	267	1287	54	266	280	6709
137	1000	28	207	320	1153	67	240	303	1740
1218	398	241	78	1492	691	300	141	430	8529
1127	5	226	1	1499	404	297	78	458	5654
301	873	64	177	615	1170	128	239	629	3151
903	1129	193	232	1129	1342	238	275	651	8519
726	279	140	60	1033	440	203	94	683	8537
849	107	180	20	1006	262	214	54	782	4655
692	963	141	203	910	1205	183	250	785	1821
326	11	60	2	468	167	90	35	805	7761
406	535	80	112	666	784	131	161	833	5722
4	299	1	60	216	543	45	112	994	5721
747	1042	146	201	874	1168	171	226	1036	3242
1016	1164	212	234	1150	1327	242	270	1053	239
1069	819	214	163	1277	1128	257	225	1057	7083
698	281	135	59	1036	680	206	143	1084	6158
274	842	55	175	473	1475	96	300	1267	6984
274	7	55	1	490	251	100	52	1267	8489
899	521	181	106	1195	808	242	166	1283	5311
668	98	133	21	873	252	172	53	1328	4169
623	1043	120	220	813	1260	160	267	1539	1023
639	40	136	8	784	214	166	44	1681	5481
1211	880	227	182	1559	1227	300	255	1796	7215
281	898	56	176	626	1225	129	245	1934	2601
1296	755	257	143	1488	958	299	187	1948	6588
974	1228	187	248	1207	1432	238	291	1981	1132
768	935	159	187	964	1141	197	227	1999	5578
19	1162	4	236	199	1308	38	263	2100	4413
234	913	51	192	491	1179	104	246	2111	6870
1212	984	242	201	1414	1206	282	248	2191	6825
878	691	183	141	997	804	209	167	2400	3614
726	486	151	104	997	702	209	152	2400	5787
910	127	180	25	1109	296	226	65	2689	6373
1021	984	205	208	1293	1220	263	260	2704	1886
1021	317	205	61	1313	553	267	112	2704	1887
439	1031	86	199	626	1223	124	238	2749	3011
4	497	1	103	248	731	53	154	2838	2381
581	52	127	11	1124	789	241	162	3331	6857
1046	935	190	193	1249	1146	230	234	3387	8125
158	212	33	42	289	331	61	68	3989	1108
1080	165	223	32	1263	331	263	68	3998	1108
172	913	35	181	611	1492	122	296	4012	6732
1051	984	219	199	1445	1390	300	284	4082	6997
1068	421	220	85	1392	848	289	174	4556	3208
274	84	55	16	1038	1008	217	210	4613	5106
25	354	7	77	236	555	54	124	4722	3532
1	392	0	81	168	558	32	113	5224	1312
1290	1056	258	215	1478	1227	300	253	6019	3719
39	854	7	174	215	1444	43	300	6021	3718
538	575	116	118	792	846	171	176	6122	5041
1	464	0	92	196	706	41	142	6657	3742
160	893	31	185	376	1125	74	230	6689	5762
1328	836	260	163	1505	1013	300	202	6730	1871
1074	1236	220	243	1350	1492	277	293	6750	3338
45	310	8	68	191	429	41	95	6757	2280
1259	546	257	107	1457	736	300	148	6787	1285
794	498	163	102	975	681	203	143	6888	4702
982	647	198	128	1464	1263	298	259	6907	2517
819	738	169	156	1207	989	249	208	6923	4493
712	389	149	83	1181	753	245	161	6934	8422
766	894	162	172	973	1101	207	216	6946	6508
655	1277	130	256	876	1474	178	299	7015	4116
