b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
206	262	42	51	489	439	92	83	5	484
24	871	5	170	513	1116	106	218	8	485
674	1084	139	217	853	1263	173	251	10	486
1306	1300	258	246	1516	1509	300	289	135	270
44	1296	9	257	236	1517	46	300	483	674
593	1176	127	233	868	1478	181	293	694	382
147	1	30	0	488	366	101	73	1218	866
861	152	173	28	1332	666	266	132	1585	869
118	702	21	127	275	873	57	164	2863	454
152	314	31	66	288	472	61	100	2872	116
588	961	119	196	752	1121	156	232	3119	556
1003	1169	206	236	1340	1481	271	297	3387	669
395	18	73	3	594	267	120	61	3404	1575
1024	1258	198	253	1191	1436	234	291	4431	299
1127	1	226	0	1349	227	268	43	5263	142
160	1	35	0	390	256	79	49	5264	142
78	148	15	33	469	480	100	108	5421	15
