b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1110	540	221	115	1400	827	281	175	157	265
22	51	4	11	232	256	47	52	237	268
326	537	66	114	520	899	105	187	237	296
1	557	0	120	167	724	33	155	256	332
647	17	126	4	1188	578	236	119	149	336
273	907	55	206	568	1227	115	271	255	628
1111	120	225	24	1424	443	291	93	91	733
71	984	14	202	444	1377	94	285	230	877
911	30	195	7	1351	325	285	67	4	924
9	104	2	21	321	325	68	67	5	924
284	580	57	124	838	1182	174	249	229	961
628	768	125	167	1133	1212	230	261	11	1064
763	1032	159	215	1043	1317	218	275	31	1066
1	24	0	4	984	1269	202	266	32	1066
510	1151	102	252	743	1333	151	290	216	1069
1010	1014	209	206	1485	1508	299	300	213	1096
17	1	3	0	1194	1352	239	277	214	1097
255	143	52	32	505	412	101	86	216	1103
14	9	3	2	402	437	73	80	44	1146
676	192	125	43	956	467	180	98	44	1147
960	202	195	45	1433	698	289	147	150	1152
1	652	0	137	473	1161	96	248	180	1311
1336	119	275	27	1446	237	300	54	174	1315
1	237	0	54	992	1413	205	300	175	1315
992	1	205	0	1448	450	300	93	175	1316
1	450	0	93	143	593	29	122	176	1316
909	653	187	142	1231	1287	255	280	218	1373
170	847	34	175	807	1470	161	299	197	1394
810	1	162	0	1485	716	291	137	197	1395
563	478	102	105	990	953	187	200	203	1430
1014	253	202	57	1483	723	300	156	105	1475
