b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1130	455	215	86	1547	746	300	143	5169	22
28	752	5	144	385	1036	77	201	5170	22
845	1330	171	259	1001	1505	205	297	5305	22
17	349	3	64	143	468	29	89	1896	54
721	1274	150	254	926	1481	195	300	5722	70
480	839	96	167	658	1020	127	198	6924	89
251	1120	48	217	491	1347	98	264	3715	91
1313	25	257	5	1469	192	290	41	2800	128
1180	902	231	174	1536	1274	300	246	127	137
113	965	22	194	328	1146	60	227	2442	174
329	311	60	64	603	572	113	113	2541	174
588	254	113	46	1049	775	203	155	3448	198
345	1186	66	243	582	1432	113	291	5662	198
460	580	87	111	882	845	170	163	68	265
170	914	30	179	461	1209	84	233	555	269
