b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
513	826	100	162	701	1093	137	214	5138	79
1083	550	210	109	1209	677	235	134	1206	278
1238	945	245	182	1412	1094	276	209	1537	437
847	1362	162	263	967	1482	185	286	255	499
896	613	176	122	1056	771	208	154	1314	725
574	1274	119	244	888	1536	182	295	7975	857
1370	835	261	160	1571	1047	300	202	247	868
1180	858	231	160	1536	1367	300	256	127	935
43	1278	10	238	285	1534	57	289	7227	935
180	128	37	26	1463	1457	300	297	7226	936
1	382	0	77	1222	1470	247	300	7995	936
1	824	0	164	381	1478	82	297	129	937
14	1	3	0	511	725	99	143	7227	937
1	224	0	47	272	722	49	142	7996	937
570	678	113	130	735	839	147	163	3088	939
1068	21	209	4	1431	342	272	59	1605	1024
677	360	135	68	813	487	164	95	2964	1038
246	1295	50	260	372	1420	76	286	2449	1196
1	502	0	96	186	614	37	120	3754	1326
174	218	34	43	354	399	71	80	3221	1422
1015	807	210	155	1279	1086	264	213	7380	1434
286	1425	54	267	441	1583	84	298	4203	1502
1091	1070	217	201	1231	1509	246	288	5798	1858
192	233	37	42	319	365	62	68	2102	1890
