b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
698	1349	131	272	875	1492	166	300	1222	371
875	1	166	0	1585	635	300	119	1222	372
350	679	70	128	567	861	113	164	1223	372
656	867	132	184	973	1149	194	240	2560	653
131	373	26	73	256	484	53	97	3988	371
264	967	53	186	452	1173	93	230	4152	671
746	867	153	184	1060	1330	216	279	5068	653
1	672	0	139	780	1477	156	299	5178	2485
943	1	188	0	1250	252	251	50	5178	2486
668	867	137	184	954	1149	193	240	5832	653
884	234	182	49	1098	438	224	90	6375	351
77	923	16	176	280	1137	60	222	6621	671
