b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
257	1	52	0	756	420	153	86	3503	66
546	373	109	73	756	630	153	125	3503	69
151	760	30	147	299	908	59	176	485	78
712	926	149	188	1212	1407	253	286	1666	391
5	270	1	55	655	623	135	129	2172	451
1	996	0	193	547	1534	108	300	1209	501
547	1	108	0	1100	975	216	187	1209	502
215	640	42	135	576	1369	114	274	1209	503
490	349	98	65	776	1007	151	190	1209	504
371	1088	78	213	482	1317	100	257	2194	648
375	120	79	22	855	934	170	176	2194	649
84	1236	17	255	250	1402	50	288	518	652
1	1256	0	259	147	1402	29	288	2196	652
45	359	9	64	270	705	54	134	518	662
1	389	0	70	167	705	33	134	2196	662
534	6	113	1	892	343	185	67	1901	693
39	590	9	115	354	929	74	185	2932	693
152	236	33	42	354	538	74	102	2932	698
1178	24	238	5	1487	296	300	60	2515	866
441	828	90	165	1057	1461	221	300	2545	953
476	715	90	127	950	1182	191	227	2243	993
330	327	61	62	1147	1058	223	211	3178	1136
828	1316	166	247	1203	1575	240	300	2137	1141
6	1372	1	263	187	1558	37	300	1663	1211
415	406	88	83	914	789	195	165	1549	1258
495	91	106	18	651	388	140	80	1549	1259
120	261	23	48	762	658	159	133	1612	1283
