b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
947	759	200	151	1168	919	241	181	673	135
455	827	90	163	646	1031	129	205	200	200
1008	1314	209	243	1267	1578	264	298	1122	408
1210	6	252	1	1435	240	299	50	1122	409
140	892	27	183	315	1040	63	214	648	416
6	550	1	100	311	915	68	181	1147	431
1	961	0	189	280	1271	59	252	1116	555
1300	1205	260	215	1490	1379	297	247	1130	568
117	705	21	132	627	1166	121	222	675	676
567	1072	115	208	1004	1520	206	300	94	687
1181	633	237	114	1418	861	281	156	579	767
243	928	48	176	834	1346	173	260	719	856
823	618	170	116	1391	1275	288	248	195	868
612	538	125	102	809	740	161	139	1013	874
1052	988	225	188	1345	1337	289	261	849	895
13	618	3	122	857	1472	181	300	566	933
14	983	2	192	395	1500	83	299	1153	984
427	1	90	0	638	222	133	45	1153	985
426	786	90	150	988	1360	207	271	301	991
479	494	96	99	731	751	148	152	329	1066
301	773	60	138	564	1057	107	189	1246	1109
841	402	175	74	1205	828	251	160	319	1185
163	1063	32	205	566	1510	120	300	692	1200
442	1317	92	256	649	1525	135	300	381	1378
