b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
690	12	136	2	1192	412	235	80	283	8787
607	388	121	73	953	751	189	144	369	5364
213	811	43	167	509	1126	102	231	482	1738
1	1085	0	206	369	1387	77	269	526	98
686	204	138	35	1018	488	208	97	704	2614
34	1046	6	194	306	1309	64	248	836	2643
200	981	36	183	385	1175	75	224	1464	1829
1315	1397	265	269	1457	1538	294	297	1639	4216
808	919	170	183	1292	1384	269	278	1953	6892
293	1	59	0	1054	595	205	108	1998	1018
951	787	192	152	1242	1058	254	210	2100	656
549	973	110	192	754	1172	149	231	2124	6294
293	1274	61	245	675	1549	139	300	2431	6417
6	481	1	95	278	751	57	151	2443	1608
257	319	50	54	558	596	109	109	2493	4403
152	416	30	81	331	557	63	108	2607	361
860	287	167	58	1154	596	227	122	2736	6845
714	1148	143	215	1063	1507	216	290	3000	1067
1053	475	209	85	1323	679	262	126	3050	4564
120	508	24	105	552	925	115	194	3321	5865
50	584	9	113	209	742	40	144	3327	650
6	1210	1	219	209	1391	40	253	3327	5749
50	1141	9	236	209	1301	40	267	3327	6900
79	1204	16	234	191	1315	43	260	3424	5464
688	836	139	157	923	1033	190	200	3445	9442
926	173	180	29	1518	589	300	112	3653	4605
1	885	0	163	241	1113	49	209	3717	9214
155	903	30	170	454	1182	91	226	3762	2578
471	998	98	195	799	1337	166	264	3910	8476
626	794	124	154	944	1058	190	210	3950	656
129	693	24	131	239	803	46	153	4249	4697
679	557	133	102	1123	814	224	156	4279	3731
37	1049	8	206	233	1234	45	240	4553	5265
82	325	16	57	193	436	37	78	4567	7625
577	759	116	135	814	934	162	170	4858	1154
19	336	3	68	653	999	126	196	4937	1847
19	431	3	84	653	1071	126	206	4937	5518
1234	787	254	158	1409	985	287	195	4964	2579
368	47	83	9	851	552	185	111	5068	3329
507	416	107	81	681	548	139	106	5180	361
90	1161	19	219	337	1357	67	257	5608	2242
811	1359	167	257	1076	1583	219	300	5648	2050
1076	1	219	0	1240	167	252	33	5648	2051
1365	721	273	135	1492	859	300	163	6124	3363
165	1	36	0	400	203	83	40	6383	3452
8	1011	1	206	422	1322	80	264	6467	7281
82	995	16	193	463	1425	95	281	6525	9337
279	743	57	131	518	934	104	170	6564	1154
980	1	202	0	1203	160	247	34	6588	6486
403	74	80	15	612	245	123	50	6761	491
5	266	1	49	309	753	64	150	6859	5855
898	1411	187	261	1042	1597	218	300	6907	5119
970	230	183	43	1080	338	207	67	6989	1041
28	1284	5	249	401	1542	77	298	7299	7006
632	175	129	32	1238	921	250	185	7365	8362
673	316	141	53	965	600	199	110	7435	4403
706	709	148	132	960	908	198	171	7435	5860
574	4	116	1	1085	443	228	97	7572	4905
571	1271	111	230	909	1604	182	300	7697	4473
1210	869	254	165	1411	1045	300	204	7758	1853
1268	546	257	107	1483	781	300	154	7829	9447
