b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
538	116	104	22	856	528	165	99	547	2
1013	667	190	121	1224	891	233	167	547	8
1221	496	232	97	1553	1215	300	244	547	11
1	160	0	32	184	625	38	122	512	14
522	754	108	148	1007	1473	212	292	548	14
329	1	67	0	577	622	120	121	548	14
45	436	9	82	317	827	68	159	549	32
293	275	56	52	1703	1649	300	288	399	40
58	1	11	0	1716	1647	300	287	400	41
65	1	13	0	1652	1582	300	289	401	42
62	1	11	0	574	509	94	83	402	43
544	298	112	54	923	642	190	122	513	49
1002	13	202	2	1261	257	250	46	524	66
52	558	10	104	356	952	70	181	514	75
928	657	157	118	1594	1354	272	238	557	86
