b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
814	722	159	135	1146	1025	222	190	9	5
860	1042	174	201	1052	1248	209	238	18	1
1195	1274	238	243	1517	1493	300	287	19	1
1118	794	219	159	1506	1191	300	244	4746	36
1126	402	215	81	1491	705	288	140	5100	58
1313	645	244	125	1490	816	278	158	5104	47
224	258	43	50	714	666	143	129	5132	48
1	1115	0	224	279	1302	52	261	5221	50
678	532	131	104	1040	823	202	159	5227	51
619	382	125	77	985	741	198	147	5377	58
422	1190	84	237	660	1398	130	276	5429	61
1289	519	248	99	1545	892	299	170	5456	63
234	39	41	6	379	183	68	34	5532	69
1124	420	215	79	1448	777	271	140	5576	74
852	1073	164	206	1410	1587	275	300	5718	87
