b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
721	494	136	94	973	748	184	142	148	63
1	897	0	184	345	1192	73	246	428	74
89	262	18	56	513	600	105	125	1832	69
1330	262	262	56	1531	470	300	96	1912	69
876	720	177	144	1167	1024	241	210	2209	70
1150	14	235	3	1409	608	290	127	2390	69
403	1318	81	261	588	1496	121	300	6784	75
588	1	121	0	891	324	184	65	6784	76
747	1	157	0	1159	401	238	79	6809	46
1174	1	241	0	1475	289	300	57	6809	47
86	678	17	135	724	1355	151	276	6920	59
1138	533	236	107	1350	745	279	149	7027	53
187	526	35	102	791	1091	159	218	7054	75
