b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
767	285	150	56	1483	914	297	183	84	39
614	684	123	138	965	1044	196	213	445	126
912	1219	187	244	1068	1346	220	272	454	121
907	1	183	0	1179	203	239	44	672	348
24	431	5	91	342	757	66	154	674	348
146	371	30	78	558	761	112	155	1610	348
680	1	131	0	1128	418	217	80	2369	32
852	1304	164	246	1122	1543	221	297	2842	216
989	750	201	149	1297	1062	259	210	3042	350
20	421	4	87	233	641	42	128	3631	286
1179	830	228	164	1450	1036	279	202	4215	161
1056	889	215	179	1245	1049	256	214	6607	126
1083	369	215	76	1350	641	265	128	7163	286
1	1085	0	219	147	1237	28	248	7767	264
880	128	177	25	1133	354	232	74	8259	407
1017	128	206	25	1268	358	261	75	8561	407
737	232	144	47	859	354	171	74	8896	407
176	604	32	118	463	880	90	174	9913	375
1063	844	203	164	1221	1407	233	279	10058	356
445	371	82	78	855	757	164	154	10141	348
992	145	182	28	1265	392	240	81	11214	162
70	1089	13	210	198	1288	38	250	11929	274
617	1202	130	238	818	1483	173	300	12361	291
818	1	173	0	1099	274	231	56	12361	292
467	693	94	141	583	805	115	162	12487	154
16	771	3	157	195	954	35	190	13073	240
636	248	119	49	778	376	148	76	13215	150
264	892	51	177	641	1213	130	243	14101	58
263	597	58	116	417	747	91	149	15855	424
1	622	0	128	182	801	38	165	16493	12
