b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
857	1220	161	259	1047	1435	197	298	2843	440
1087	44	205	9	1438	441	277	90	2843	441
432	1106	82	224	649	1458	128	300	2879	423
649	1	128	0	1348	382	267	78	2879	424
1	831	0	163	201	1043	42	208	2880	424
1251	54	263	12	1443	256	300	51	3591	359
1	256	0	51	455	681	92	137	3592	359
1180	772	232	162	1399	998	277	209	5524	344
1028	1220	193	259	1258	1435	237	298	6940	440
1298	44	245	9	1557	342	300	71	6940	441
1160	1053	216	208	1415	1307	268	263	7771	167
1127	1213	226	253	1308	1442	262	300	8620	111
607	678	113	135	836	923	156	182	9090	562
1239	1184	235	240	1344	1450	259	299	12058	423
803	748	169	149	1413	1444	284	283	12250	556
1339	818	240	159	1543	1055	282	208	12667	31
199	1	38	0	739	610	144	120	16246	234
1	1112	0	229	366	1478	71	300	16246	235
499	982	102	202	791	1271	160	259	19360	384
