b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1291	664	239	129	1536	911	284	175	1817	7
851	801	160	154	1483	1191	278	227	1819	7
1464	640	275	124	1607	925	300	176	4629	9
126	1308	22	261	275	1457	56	295	3950	10
880	912	182	167	1035	1067	210	195	3954	14
534	1	112	0	798	265	160	48	3147	15
436	562	84	109	648	773	124	149	3157	20
727	1225	139	245	955	1451	182	287	4905	23
937	240	190	46	1076	368	217	71	2733	24
1264	995	258	192	1458	1189	295	229	2614	26
906	353	182	71	1166	559	231	110	2649	27
79	726	14	145	278	925	55	186	3714	27
1140	86	236	18	1335	281	277	59	3744	28
531	819	101	154	718	1007	139	192	363	32
1014	411	200	76	1180	582	230	107	2365	32
1	1401	0	274	140	1539	25	298	4026	33
1	780	0	143	180	959	33	176	1704	34
807	1216	162	231	1008	1439	200	271	3300	38
1281	417	253	76	1456	592	281	104	2263	40
349	1126	67	232	638	1415	126	291	4319	43
