b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1290	698	248	140	1539	968	300	195	17	246
630	698	128	140	1028	1161	210	235	19	246
653	262	129	51	818	425	160	82	484	308
571	983	106	191	1272	1528	244	299	605	771
139	522	26	116	301	664	62	148	46	831
431	421	87	90	616	589	122	121	56	1050
858	568	172	115	1058	758	216	157	41	1079
10	970	1	194	383	1462	76	293	14	1307
726	399	142	79	874	597	172	121	153	1453
997	1408	195	267	1185	1577	233	300	5	1590
916	779	188	158	1392	1468	284	300	78	2059
221	1057	45	209	449	1270	91	251	49	2447
601	1026	126	205	919	1316	187	261	15	2450
643	533	131	111	924	861	192	182	49	2466
1126	860	227	168	1462	1239	297	248	15	2617
601	714	126	150	919	1004	187	205	15	2620
4	1	1	0	290	306	62	64	37	2623
35	729	8	152	537	1271	104	256	16	2648
1253	1149	228	237	1575	1457	293	300	16	2652
609	1149	108	237	931	1457	173	300	18	2652
1	34	0	7	829	831	154	155	17	2653
931	1	173	0	1624	698	300	128	18	2653
549	794	112	147	959	1365	195	262	45	2653
421	1	87	0	1515	1004	300	196	20	2654
1	1004	0	196	450	1491	88	292	21	2654
450	1	88	0	794	372	154	70	21	2655
960	334	196	62	1481	797	300	155	24	2655
161	392	31	74	781	961	153	186	25	2655
711	1250	143	261	901	1434	182	299	36	2675
1237	460	253	90	1460	708	300	142	45	2679
135	1	28	0	384	269	77	53	47	2679
885	986	184	196	1197	1291	251	262	37	2683
260	1	56	0	547	264	116	55	38	2687
152	42	31	8	325	203	63	38	48	2689
222	1247	42	257	461	1444	94	300	24	2692
461	7	94	1	851	645	174	133	24	2693
255	983	52	193	463	1210	96	239	20	2695
209	927	41	191	547	1223	109	249	29	2829
1	321	0	66	194	545	38	112	29	2834
51	917	9	190	577	1459	114	300	99	2939
577	1	114	0	899	329	181	69	99	2940
638	1	124	0	774	148	155	33	1090	2986
653	184	129	37	818	347	160	68	484	3096
51	387	9	74	899	1245	181	250	99	3686
821	371	154	76	980	548	190	116	103	3720
632	469	127	94	849	741	169	147	136	3812
333	38	67	9	564	271	115	57	111	3931
374	583	77	117	640	863	132	176	113	3932
374	860	77	171	648	1137	133	228	113	4058
356	1187	70	245	474	1301	95	269	1234	4087
490	465	94	96	983	878	191	179	131	4176
1	1339	0	257	149	1536	30	297	134	4184
347	1105	62	217	637	1379	119	273	137	4194
140	568	26	119	730	1260	139	258	139	4201
291	392	55	77	1025	1082	198	210	140	4202
