b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
753	973	147	189	1325	1461	264	288	32	206
1	193	0	41	665	715	135	147	71	402
609	609	122	124	945	913	189	186	71	457
1265	1126	247	235	1520	1379	300	287	73	99
1265	22	247	4	1520	274	300	56	73	451
1251	393	253	83	1468	666	299	143	109	244
729	421	145	84	850	565	171	114	209	329
186	450	37	92	555	799	107	162	242	226
294	811	60	158	951	1415	201	289	257	363
28	1024	6	202	349	1410	73	288	258	363
941	1317	191	260	1122	1507	230	300	271	195
895	405	189	80	1187	697	247	139	276	116
43	12	9	2	381	346	69	62	353	114
1166	175	234	35	1479	467	300	96	380	196
898	209	179	42	1158	453	228	87	398	428
725	773	139	156	871	921	170	188	498	211
1157	275	232	55	1487	624	298	125	504	158
610	531	116	106	1035	930	202	183	508	311
21	1400	5	278	130	1508	27	300	509	129
130	1	27	0	283	367	59	77	509	130
