b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
357	436	75	85	787	890	166	178	2	607
1073	794	233	172	1230	962	265	207	5	730
274	1221	50	235	483	1527	94	300	6	613
10	99	2	21	491	548	102	114	7	636
313	865	65	184	837	1422	176	300	11	714
389	641	80	131	1099	1212	230	249	12	684
953	959	199	195	1451	1453	300	298	12	698
129	104	28	19	714	655	151	134	13	684
1154	33	248	6	1387	254	299	55	14	536
877	224	180	47	1450	760	299	156	16	648
4	770	1	159	797	1458	167	300	17	648
580	1	121	0	910	403	189	82	17	649
867	1357	181	269	1065	1518	221	300	17	658
1065	1	221	0	1457	425	300	87	17	659
1	425	0	87	271	699	54	142	18	659
290	291	58	57	1135	1274	230	260	18	687
1266	1	257	0	1468	216	300	46	18	745
970	565	198	116	1133	720	230	148	19	687
222	231	46	49	790	920	160	186	19	745
611	959	128	203	937	1269	199	268	20	701
114	948	22	202	557	1410	117	300	20	707
52	727	11	154	818	1434	173	300	22	681
818	1	173	0	1286	544	265	107	22	682
592	827	120	166	1192	1432	236	283	23	682
65	139	14	26	861	871	178	176	28	700
639	90	132	16	904	525	192	107	33	684
15	567	3	116	306	854	67	179	35	606
7	313	1	65	507	788	107	162	36	684
647	641	135	131	1109	1099	233	225	36	684
280	139	59	26	1073	871	221	176	37	700
158	133	34	28	666	548	141	112	39	710
816	182	171	39	1397	691	300	149	40	629
131	786	25	162	997	1253	202	255	42	86
1	863	0	172	651	1500	131	300	42	634
661	7	133	1	1313	690	267	141	42	635
454	35	96	6	1239	856	263	175	43	684
729	616	150	125	1308	991	267	202	49	689
508	337	107	67	1067	834	223	166	55	703
341	1171	75	239	717	1468	153	300	57	605
137	175	30	32	497	561	106	115	57	605
