b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
778	74	151	17	1163	384	227	79	98	2005
107	350	19	65	329	555	68	110	122	2864
272	734	57	147	560	982	112	195	126	3331
224	645	46	137	580	1035	116	215	141	3518
1353	1340	255	268	1536	1516	288	300	193	2583
234	916	47	168	589	1263	119	238	208	697
632	774	115	141	912	1046	167	193	230	2872
400	83	82	17	885	649	172	126	393	483
1236	189	239	31	1444	397	275	67	483	3289
1	112	0	21	143	254	26	47	484	3798
1052	5	208	1	1354	297	254	46	486	3298
1064	1177	214	240	1322	1445	270	298	496	4278
