b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
157	947	30	191	528	1477	108	300	99	139
528	1	108	0	757	245	156	50	99	140
165	142	32	30	794	1056	163	221	99	160
1087	1070	221	222	1472	1468	292	296	128	1055
373	103	73	21	751	522	151	104	129	1056
1	524	0	105	295	809	60	165	136	996
642	107	128	24	1469	1076	300	228	141	1135
1	1076	0	228	321	1398	72	300	142	1135
321	1	72	0	1422	946	298	196	142	1136
6	931	1	193	466	1399	104	300	143	1136
472	8	105	1	1396	908	300	193	143	1137
1	908	0	193	425	1426	87	298	144	1137
435	1	89	0	1432	834	300	173	144	1138
1	834	0	173	501	1423	107	300	145	1138
908	827	176	176	1097	1199	216	254	147	848
499	365	102	75	856	731	176	151	157	2280
615	1200	131	247	982	1447	212	300	172	528
988	6	213	1	1394	263	299	55	172	529
457	1024	94	207	694	1243	139	249	183	2385
1	49	0	9	289	326	57	65	194	2429
311	1113	61	223	694	1494	139	300	212	1175
694	1	139	0	1465	775	300	162	212	1176
1	775	0	162	622	1428	128	297	213	1176
700	27	144	6	1467	822	300	166	213	1177
1	822	0	166	574	1464	119	300	214	1177
574	1	119	0	1144	601	231	117	214	1178
1	954	0	209	404	1377	88	300	232	1913
305	735	61	154	971	1317	200	276	237	819
1207	317	233	60	1476	580	289	114	244	1942
151	75	29	15	510	292	96	55	244	1942
49	834	10	179	581	1407	121	300	246	253
581	1	121	0	906	340	187	69	246	254
951	1212	195	263	1156	1400	236	300	246	432
596	37	119	6	1429	453	287	90	247	782
1271	543	253	121	1503	735	298	159	250	325
1267	1179	252	240	1467	1380	290	278	250	1607
53	730	11	158	850	1390	175	297	251	325
1057	1	219	0	1436	393	300	84	251	326
1363	577	270	118	1509	723	300	148	252	326
532	682	103	139	850	996	165	200	252	2330
8	728	2	149	600	1333	117	270	253	326
1040	327	204	68	1536	881	300	181	253	1608
546	1018	109	203	894	1419	182	288	254	326
1	881	0	181	301	1166	58	235	254	1608
1246	254	266	53	1371	405	291	83	260	1116
1168	364	229	77	1528	849	300	176	261	1679
780	610	162	129	1482	1129	300	231	262	2009
997	894	206	191	1447	1243	300	265	267	1552
656	460	135	97	1468	1182	300	246	270	666
771	47	159	9	1205	519	245	104	270	2170
1104	111	223	24	1468	389	300	85	270	2422
1	1182	0	246	286	1449	58	300	271	666
286	1	58	0	1465	1158	300	238	271	667
1	1158	0	238	255	1453	51	300	272	667
255	1	51	0	461	202	96	44	272	668
615	1	127	0	1139	481	240	103	272	1730
943	892	198	178	1426	1429	300	290	277	2212
350	218	75	47	706	477	152	103	278	938
52	1	10	0	390	386	83	86	278	2213
25	751	6	156	879	1454	179	300	309	2322
879	1	179	0	1388	512	284	106	309	2323
1	527	0	110	346	831	72	173	310	2323
1160	826	226	180	1510	1275	300	275	318	1054
997	346	208	77	1256	644	263	143	319	1666
939	219	185	48	1164	443	232	96	320	1925
199	383	40	83	936	1086	193	225	321	1925
1159	127	236	28	1433	416	293	88	323	1820
218	967	43	201	634	1457	124	299	324	1819
653	18	129	4	1265	1013	257	216	324	1820
1	252	0	53	537	779	105	158	325	1819
778	381	163	82	1197	881	246	183	329	2142
819	330	165	71	1090	617	219	128	330	2097
821	891	170	189	1358	1420	279	296	335	2273
1	316	0	68	322	545	67	116	340	1587
616	662	130	137	1055	1100	218	223	341	1586
382	133	76	29	1146	389	232	83	353	1084
1216	1	232	0	1553	298	300	62	354	684
619	210	129	46	926	538	188	110	362	653
551	1	114	0	1108	587	224	118	365	201
1284	392	257	84	1493	635	299	133	367	295
326	1	66	0	743	441	148	87	367	383
278	11	55	2	923	711	182	140	367	678
1261	387	252	87	1493	695	299	149	367	1492
1	635	0	133	333	981	69	206	368	295
1	695	0	149	333	1035	69	220	368	1492
451	73	94	17	894	519	186	109	368	1499
646	275	123	58	1085	668	218	145	370	934
400	399	87	92	944	915	198	199	372	1210
1	142	0	29	261	446	52	90	375	2209
1308	1	257	0	1524	208	298	39	387	1274
14	970	2	197	474	1411	98	291	389	885
1182	1037	228	214	1530	1438	300	295	391	1652
25	1	5	0	390	283	78	56	392	1653
1	1192	0	244	208	1472	42	300	422	2320
208	1	42	0	436	238	88	48	422	2321
836	1244	175	264	1014	1402	213	299	423	2488
562	154	107	36	1226	716	245	151	429	1502
58	694	12	146	1149	1412	234	294	430	1502
270	1135	52	233	707	1465	140	299	441	2305
707	1	140	0	1241	538	251	111	441	2306
641	1	129	0	1114	719	227	149	459	1614
7	977	1	200	204	1158	41	236	463	2176
878	566	182	117	1422	1133	294	233	469	810
929	819	189	169	1367	1118	278	230	470	1556
1028	18	211	3	1367	359	278	71	470	1977
673	755	127	157	1089	899	207	184	480	852
1355	621	265	128	1521	793	300	164	482	1017
978	772	191	159	1539	1289	300	262	485	1468
722	1112	143	228	1136	1478	222	300	485	1522
1136	1	222	0	1539	411	300	81	485	1523
1	411	0	81	277	669	56	135	486	1523
318	1076	59	226	825	1430	161	298	489	1905
900	1	178	0	1121	216	224	45	489	1906
304	726	60	142	1484	1305	300	264	490	1133
1	1305	0	264	192	1489	37	300	491	1133
604	56	129	12	1385	833	300	183	491	1134
1	487	0	106	834	1393	174	295	493	1471
589	1009	121	208	874	1291	179	268	498	2407
835	794	166	162	1276	1142	251	228	502	648
10	288	2	59	282	571	61	121	506	1224
346	610	74	124	594	914	121	182	506	1623
258	1	56	0	507	288	111	63	509	14
55	639	10	135	230	896	47	190	512	1906
563	898	116	193	776	1198	158	256	522	601
1031	1040	210	217	1472	1379	300	286	522	913
126	1	25	0	677	613	137	125	523	913
88	79	17	16	1255	964	246	185	523	914
458	583	95	127	1290	1252	263	262	524	1838
1089	1	224	0	1298	211	264	40	526	495
427	11	89	2	1397	1037	300	225	529	357
4	1037	1	225	299	1384	64	300	530	357
1	240	0	49	1497	1213	297	238	531	358
1	1072	0	211	608	1500	110	287	532	358
993	88	184	19	1304	354	250	75	532	1254
1228	142	247	29	1470	474	300	102	535	939
1	474	0	102	300	782	61	164	536	939
751	659	152	138	1018	935	208	195	540	359
1	822	0	172	488	1349	101	281	541	359
711	997	144	209	1035	1449	209	298	542	1783
1054	4	213	1	1479	389	300	80	542	1784
68	952	14	212	208	1092	44	242	544	1768
867	527	180	104	1437	1168	295	235	553	1653
503	1	103	0	1528	1065	298	201	559	467
101	11	21	2	575	340	118	69	559	1704
572	697	113	150	908	1199	181	254	564	824
608	1174	120	247	837	1429	167	300	564	2005
40	93	7	21	1056	1408	218	296	568	951
40	263	7	59	334	632	66	133	568	1163
381	1247	78	255	579	1473	117	300	569	1428
579	1	117	0	1476	891	300	183	569	1429
994	1	205	0	1304	286	270	61	570	108
1	891	0	183	595	1463	120	299	570	1429
208	865	40	178	601	1189	122	242	579	923
143	32	27	6	1036	751	198	145	580	288
885	1	179	0	1535	255	300	52	581	289
