b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	423	0	80	808	755	153	144	14	7911
1155	1004	240	190	1387	1221	288	235	66	6313
1025	1	208	0	1368	374	280	76	73	697
512	1013	106	194	798	1279	158	242	77	3883
571	904	121	173	968	1033	205	201	92	6251
988	81	199	14	1475	804	294	158	93	1117
120	109	28	20	675	652	142	128	97	4167
101	5	18	1	444	192	93	39	137	4918
1163	253	236	49	1452	516	290	96	161	6913
1058	352	207	67	1380	999	270	197	182	6334
670	53	137	10	1281	460	265	96	183	6335
1384	784	271	148	1527	918	299	174	193	5346
1	1012	0	192	149	1194	26	223	197	1114
470	801	93	145	674	1207	135	226	197	6431
678	395	143	71	975	686	204	130	200	7595
764	1128	161	212	900	1259	192	240	209	7602
74	559	13	111	802	1165	148	224	252	5030
764	1155	151	221	1473	1423	300	273	254	5041
1	505	0	94	310	807	68	157	283	5922
241	1003	48	196	657	1452	125	278	286	5940
771	1042	150	213	949	1446	185	291	297	7000
708	1086	150	214	1036	1379	218	274	298	7001
816	823	163	153	1340	1144	259	211	299	797
1	988	0	197	491	1427	98	284	305	7020
62	52	13	11	674	366	135	72	311	6877
759	287	155	53	1209	512	239	97	315	6179
945	476	190	88	1091	625	218	116	315	6884
1000	889	204	177	1415	1151	286	225	326	4125
930	805	190	154	1390	1220	280	239	327	818
935	1328	191	249	1303	1598	265	300	327	4133
739	57	144	11	1525	646	300	125	328	819
911	450	170	84	1107	623	209	118	330	838
509	619	102	117	1449	1219	295	235	344	7063
9	946	1	181	822	1529	162	297	353	1844
84	1320	14	257	292	1554	54	300	380	6957
1046	207	217	39	1416	403	287	78	464	5999
5	412	1	80	1298	1399	280	289	465	5999
212	849	37	154	370	989	69	183	470	2218
662	999	127	193	949	1183	182	227	470	6002
988	550	198	104	1377	853	283	167	502	6375
1	1269	0	251	147	1404	31	279	503	7611
798	451	166	89	1362	991	287	202	721	9597
1002	4	203	1	1197	228	242	46	751	9814
229	780	45	153	1317	1528	264	300	767	6459
6	1220	1	229	398	1562	81	300	848	4263
525	945	109	179	1237	1533	256	299	859	9820
1	101	0	18	545	560	109	106	860	9821
211	1	46	0	853	860	181	178	871	4339
895	268	188	51	1318	1226	269	234	890	2433
195	1	40	0	411	207	81	39	891	2433
11	575	2	108	213	751	41	143	892	2433
607	1277	122	239	1311	1609	244	300	940	2178
34	375	8	69	350	695	65	129	3564	6992
