b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1230	1	250	0	1412	437	286	90	1156	4231
1	1049	0	206	276	1493	54	300	1932	3287
306	814	59	165	979	1469	193	297	2095	2864
357	144	70	29	1019	792	201	155	2095	4633
896	1400	191	277	999	1504	214	300	2210	2640
1088	125	210	24	1462	500	285	100	2303	5868
105	824	22	155	538	1000	108	190	2312	6284
1063	913	221	181	1260	1105	262	221	2329	3290
79	44	19	10	323	266	69	55	2329	6285
423	250	83	47	850	741	171	148	2344	4587
23	866	4	156	179	1006	37	186	2374	2804
544	194	109	37	1366	890	270	169	2488	5878
49	901	11	172	596	1419	115	272	2489	5878
944	57	186	12	1169	295	227	56	2494	5879
69	372	15	73	1096	705	214	135	2529	5879
27	39	5	8	152	231	31	47	2865	4605
