b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
520	1084	101	217	770	1328	151	266	741	356
937	419	185	84	1214	651	242	132	780	358
789	1360	157	259	1067	1564	216	300	904	360
160	96	30	20	610	433	123	91	788	418
850	977	165	199	1335	1267	269	261	104	536
1203	786	246	149	1400	1009	285	194	1081	556
1068	182	215	37	1495	509	300	102	302	607
1	509	0	102	281	736	55	145	303	607
961	810	203	162	1434	1449	299	295	638	672
27	5	5	1	777	711	159	148	639	673
975	686	203	138	1188	913	248	184	575	678
190	246	39	51	607	646	125	132	1521	819
75	340	16	69	641	910	130	183	1429	828
468	1211	98	240	740	1487	156	299	70	957
