b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1193	449	254	98	1395	659	300	145	235	269
24	396	5	79	503	903	107	185	254	226
1186	791	253	161	1403	1008	300	207	332	94
136	550	25	114	832	1210	169	250	338	84
71	312	17	64	401	1121	87	230	459	357
902	584	184	121	1363	1043	284	217	486	300
5	417	1	86	575	1043	120	217	487	300
570	872	120	186	1059	1316	226	284	488	305
141	1301	31	243	424	1590	88	300	643	322
424	1	88	0	1041	343	215	63	643	323
54	658	11	129	338	966	71	194	956	312
10	162	2	32	235	465	49	92	1800	193
593	138	124	25	1466	1081	297	217	1806	173
925	73	187	13	1456	630	299	130	1807	173
217	548	45	108	435	752	88	149	1823	46
