b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
40	339	7	65	511	997	107	199	395	103
168	1135	37	228	728	1445	144	292	599	182
347	1	76	0	658	287	131	50	599	204
756	157	145	27	952	396	188	78	600	203
729	278	151	55	971	539	201	109	601	185
808	498	167	94	1118	845	234	167	1374	91
235	332	48	64	533	518	110	101	1547	214
1208	140	244	25	1383	314	279	60	1554	494
773	266	168	49	1125	669	243	135	1657	617
494	323	103	61	1225	1298	254	259	1658	617
1017	1	212	0	1461	495	300	98	1658	618
1	495	0	98	992	1483	204	300	1659	618
992	1	204	0	1419	370	300	81	1659	619
1	370	0	81	886	1372	194	300	1660	619
886	1	194	0	1400	626	300	125	1660	620
1	626	0	125	679	1309	143	269	1661	620
