b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
78	1	13	0	346	338	67	69	13	324
199	919	39	169	362	1107	71	206	29	1044
1227	52	222	9	1578	424	292	80	66	964
438	521	87	101	928	962	179	183	75	763
827	204	157	37	1040	375	200	70	116	610
267	719	58	139	510	964	109	190	137	934
1081	1152	205	232	1367	1480	267	300	168	495
765	585	153	108	1070	914	213	171	196	803
821	977	159	183	1239	1148	245	217	202	1043
788	91	144	17	953	288	177	58	234	1190
85	1408	17	268	488	1576	92	300	245	1237
524	34	99	7	1076	483	206	94	245	1238
1414	650	260	128	1579	805	295	161	260	619
20	834	4	167	597	1473	125	300	261	619
597	1	125	0	814	232	167	45	261	620
631	251	120	47	942	503	175	93	275	1168
139	72	31	14	524	440	105	85	290	540
934	1290	188	241	1080	1425	216	267	296	813
382	1	77	0	928	337	187	67	296	814
670	1049	126	205	1048	1528	201	300	328	478
1218	845	247	159	1496	1126	300	213	361	645
1	1126	0	213	301	1397	61	267	362	645
861	58	161	12	1525	509	290	102	388	998
1089	1318	204	248	1390	1432	264	270	389	997
1	1451	0	272	143	1588	29	299	402	993
1096	5	212	1	1442	282	278	54	429	879
1	1028	0	196	716	1613	134	300	430	879
741	418	141	80	1540	1031	293	197	471	1450
756	143	141	28	1566	743	300	144	483	604
206	370	37	70	502	649	92	120	483	1171
1	743	0	144	881	1531	172	299	484	604
895	1	174	0	1255	314	249	66	484	605
295	737	64	150	633	1067	126	211	485	605
34	304	7	64	450	601	91	126	488	605
1296	42	240	7	1525	365	283	67	493	966
43	644	8	122	224	813	46	158	494	966
1286	684	242	127	1504	914	284	171	499	803
631	505	122	92	1030	842	200	157	503	1031
238	1	46	0	1489	797	294	155	515	1222
600	598	114	115	1251	1324	248	261	521	582
227	15	47	3	1348	1070	271	216	522	583
485	598	98	115	679	923	136	181	523	582
263	9	50	1	1515	1187	299	230	531	594
7	1194	1	231	360	1549	69	300	532	594
864	1265	177	236	1163	1592	232	296	533	598
973	784	183	144	1552	1285	300	241	538	599
126	553	22	104	389	784	69	144	538	599
1	1285	0	241	376	1578	74	300	539	599
1285	103	242	19	1483	273	282	54	539	600
7	299	1	60	225	484	45	97	540	600
558	66	112	14	1404	999	287	207	542	398
642	1188	118	241	777	1314	146	267	545	578
427	763	77	149	647	934	119	181	545	579
317	1318	59	268	485	1492	90	300	547	578
485	1	90	0	784	265	149	52	547	579
60	460	9	84	308	675	54	123	554	592
1	640	0	119	312	961	59	180	559	691
659	23	117	5	1446	494	266	94	560	960
123	497	21	92	589	969	104	178	560	1123
280	1251	45	231	759	1633	134	300	571	1492
759	1	134	0	1477	528	269	97	571	1493
1	528	0	97	209	741	44	140	572	1493
238	746	45	141	460	978	88	186	575	1493
1	633	0	126	416	1062	85	214	582	894
1142	719	236	147	1392	890	286	180	590	458
162	612	33	121	356	788	74	157	591	459
