b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1006	979	207	188	1123	1096	231	213	325	194
17	376	2	82	283	643	48	128	315	1726
1151	611	227	124	1346	807	267	165	368	3870
1167	790	230	154	1310	933	259	183	368	3897
528	455	103	79	946	1113	190	211	368	3919
826	810	163	174	1139	1136	222	237	143	4845
719	147	140	31	1405	847	276	169	143	4878
1142	920	234	188	1324	1171	278	245	414	7433
638	951	126	182	835	1143	166	221	214	9248
286	49	62	9	635	330	125	60	214	9564
638	143	126	28	1441	777	285	154	214	9590
422	795	82	155	806	1115	160	218	308	10107
369	1006	69	209	691	1329	136	274	175	10237
77	868	16	161	799	1579	158	299	214	10384
799	1	158	0	1448	640	287	127	214	10385
256	205	56	42	635	581	125	113	214	10389
530	1042	102	202	662	1162	130	228	328	10484
300	150	59	30	644	493	118	91	417	10780
1	313	0	63	703	1118	147	231	331	10996
1163	59	237	11	1474	366	300	73	528	11004
1	366	0	73	477	1014	86	194	529	11004
782	1202	160	223	1062	1612	214	298	215	11362
1109	21	222	3	1503	498	300	94	215	11363
1	498	0	94	758	1261	146	241	216	11363
1043	1512	206	278	1178	1649	228	300	216	11366
1178	1	228	0	1547	736	300	146	216	11367
422	632	82	118	1358	1577	262	300	218	11386
1358	1	262	0	1557	195	300	38	218	11387
1038	574	205	109	1541	1080	299	203	216	11409
1043	535	206	106	1541	922	299	180	216	11413
915	147	186	29	1123	369	224	69	215	11414
734	331	150	63	1493	1171	298	224	215	11417
172	1221	31	235	630	1535	119	298	216	11417
183	662	36	132	462	1143	93	230	493	12880
235	978	47	198	344	1140	68	228	493	12882
584	1111	109	221	758	1268	146	256	216	12895
671	1177	133	241	835	1338	166	274	214	13605
1262	436	247	83	1443	617	280	116	102	13938
225	1172	42	231	362	1315	74	263	342	13959
675	1340	140	263	855	1516	178	300	342	13960
1105	804	222	154	1443	1000	289	191	328	14007
14	921	3	182	175	1129	37	226	457	14063
563	690	112	132	713	841	142	162	432	14323
610	1347	121	262	718	1457	143	285	432	14325
605	301	120	62	713	409	142	84	432	14354
615	1031	115	208	984	1486	192	300	232	14535
1	555	0	111	776	1350	166	279	330	14569
602	1134	118	218	919	1448	187	286	235	14580
1014	242	205	47	1308	536	265	105	525	14581
1262	1097	247	220	1443	1278	280	253	102	15269
1	102	0	19	201	307	39	60	281	15956
1055	470	208	90	1465	906	291	177	214	16755
1272	5	268	1	1391	136	296	32	263	16899
1	132	0	31	676	798	141	175	264	16899
575	395	118	80	986	790	203	160	140	21973
1242	504	243	98	1376	636	270	125	226	22326
1260	4	261	1	1433	254	297	54	413	22482
903	210	183	40	1435	695	300	146	206	22486
21	721	3	152	298	979	53	200	207	22486
702	140	135	24	1548	879	300	172	253	22681
12	857	2	168	687	1524	126	294	254	22681
1022	1	187	0	1578	652	292	120	254	22682
39	652	7	120	429	1062	78	196	255	22682
593	23	125	4	768	259	161	52	420	22685
668	385	127	70	1548	1223	300	235	253	22695
12	1201	2	231	352	1554	68	300	254	22695
352	1	68	0	1546	1589	286	300	254	22696
1	130	0	25	208	356	40	69	255	22697
1	462	0	85	213	709	36	130	283	22708
1238	1226	242	241	1385	1379	272	272	226	23077
1094	562	217	112	1290	762	255	150	281	23373
391	932	74	180	997	1529	196	300	204	23989
997	1	196	0	1518	498	300	97	204	23990
1	498	0	97	1156	1559	221	300	205	23990
903	265	183	56	1432	751	299	161	206	24108
24	786	4	169	298	1041	53	216	207	24108
957	959	195	184	1415	1477	295	300	206	24110
632	313	130	57	986	650	203	125	140	24111
1	21	0	5	298	313	53	57	207	24111
98	191	21	37	439	990	85	183	217	24114
94	1307	20	256	331	1526	68	300	200	24117
331	1	68	0	1079	560	210	106	200	24118
17	66	2	13	283	331	48	61	315	24129
632	15	130	3	1095	425	225	86	140	24144
51	1	11	0	233	180	46	33	412	24148
298	170	61	29	512	470	104	88	215	24223
1	522	0	98	524	1130	107	220	215	24243
1193	429	231	75	1541	976	299	178	216	24245
474	593	91	115	663	786	127	152	240	24296
1	136	0	25	512	887	104	171	215	24301
440	212	86	43	1557	1324	300	256	218	24316
766	327	145	64	1548	1012	300	200	253	24324
12	990	2	196	563	1534	105	300	254	24324
563	1	105	0	1578	1072	292	204	254	24325
619	1	130	0	764	154	160	31	420	24339
1252	1267	249	249	1402	1417	283	283	165	24353
1	196	0	36	161	349	31	66	262	24374
610	1129	121	212	713	1232	142	233	432	24374
1196	948	239	187	1371	1142	278	228	465	24445
1146	1023	235	210	1394	1347	292	284	414	25495
300	186	59	36	644	531	118	97	417	25528
