b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1051	73	220	15	1336	631	279	129	7	2130
86	1165	18	225	238	1317	49	256	9	3366
99	656	20	136	434	985	94	211	11	273
244	562	48	113	746	1082	151	220	14	1369
579	1247	118	252	795	1486	164	300	20	2762
847	293	173	60	1439	1127	300	231	23	3489
1	1127	0	231	231	1380	46	281	24	3489
252	46	50	9	726	478	152	100	24	3490
232	916	49	188	658	1465	136	300	25	3490
661	15	137	3	856	234	176	48	25	3491
279	1027	56	201	423	1236	88	247	26	2712
707	944	145	190	1290	1486	265	300	26	2758
733	907	151	183	1151	1326	237	269	26	2762
1172	576	236	118	1481	947	300	192	27	2762
235	291	46	53	1070	1017	211	194	28	3294
235	950	46	177	935	1579	185	300	28	3542
31	663	7	131	835	1496	169	300	32	1367
835	1	169	0	1291	505	257	98	32	1368
17	108	4	21	1291	1452	257	290	32	2080
1116	463	222	91	1492	843	298	167	33	1356
435	535	84	113	881	1044	175	216	33	2734
435	481	84	101	881	990	175	204	33	3225
1196	1064	240	215	1483	1337	290	263	46	2813
913	1324	166	260	1174	1554	211	300	47	2813
1182	10	212	1	1577	583	293	118	47	2814
10	473	2	93	949	1381	214	298	48	2814
960	1	216	0	1344	470	300	99	48	2815
1	470	0	99	831	1391	178	296	49	2815
826	9	177	1	1453	653	300	128	49	2816
6	657	1	129	611	1543	114	297	50	2816
1089	35	209	6	1543	536	300	107	50	2817
322	1	59	0	1069	639	207	130	51	2813
1159	372	226	71	1469	718	279	130	64	915
1	374	0	78	1249	1524	244	300	130	1373
1249	1	244	0	1509	165	300	34	130	1374
1	165	0	34	1153	1161	218	216	131	1374
134	1271	27	258	312	1462	66	300	183	3075
312	1	66	0	849	537	175	109	183	3076
339	446	74	90	914	1433	193	293	215	1705
23	143	5	28	319	441	63	86	216	598
