b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1	1397	0	270	157	1548	31	300	207	34
43	528	7	95	241	790	46	147	207	35
316	1316	60	253	544	1534	109	300	207	36
376	228	72	47	472	473	93	99	207	37
420	438	82	87	713	748	147	154	22	271
627	721	133	147	808	902	169	184	23	271
710	41	142	9	952	321	190	64	24	272
1024	154	189	32	1375	793	256	156	25	272
450	420	92	76	922	1022	179	189	103	458
1297	20	245	4	1490	484	283	97	102	459
1261	196	239	36	1573	588	299	106	140	774
1265	1	223	0	1535	479	277	93	214	1176
68	1	13	0	1187	1354	220	258	215	1176
1	322	0	62	283	960	60	189	216	1177
291	784	62	155	604	1548	120	300	216	1178
968	50	189	9	1234	338	243	68	216	1179
560	755	110	145	712	1123	144	224	210	2137
651	5	128	1	813	538	162	113	187	2161
641	51	119	10	999	512	189	99	75	2845
1	526	0	98	139	664	28	126	191	2903
139	1333	28	255	359	1557	72	300	191	2903
359	1	72	0	807	448	167	95	191	2904
807	1036	167	207	1488	1306	300	260	191	2904
14	1306	3	260	192	1485	43	300	192	2904
807	17	167	4	1413	185	286	39	191	2905
77	1	16	0	532	336	115	71	192	2905
928	594	184	118	1514	1338	300	263	113	2973
13	1338	2	263	259	1507	49	298	114	2973
762	1123	146	219	1080	1400	205	273	114	2974
275	27	52	5	641	537	122	104	114	2974
619	293	116	54	797	497	152	96	116	2999
