b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
261	664	51	133	958	1488	195	300	144	185
431	1	86	0	664	231	134	47	34	586
755	1147	144	225	1000	1482	199	298	337	664
199	1066	40	219	454	1442	94	300	336	665
423	496	81	108	688	743	137	161	254	763
431	960	78	195	792	1235	151	252	239	769
487	100	100	20	642	241	135	52	35	857
648	942	130	190	783	1087	155	217	134	874
692	401	132	86	858	732	166	153	41	956
1407	394	274	85	1530	682	300	144	264	956
1170	1	231	0	1434	250	287	53	46	1320
423	535	81	116	688	777	137	168	254	1323
575	242	121	50	816	520	172	109	49	1332
22	1007	4	205	233	1217	48	248	266	1512
873	1088	169	204	1273	1517	250	290	253	1541
623	486	126	104	1223	1099	248	228	50	1696
22	995	4	202	309	1329	64	270	266	1719
1079	147	214	29	1547	803	300	150	337	1741
1	803	0	150	712	1602	138	300	338	1741
712	1	138	0	1560	1005	300	185	338	1742
1	1019	0	188	518	1609	98	300	339	1742
518	1	98	0	1244	711	238	134	339	1743
1102	963	215	191	1471	1459	289	290	188	2237
866	5	174	1	1020	128	202	24	193	2239
1368	820	267	159	1538	983	300	191	192	2240
1	983	0	191	498	1502	99	293	193	2240
1097	55	211	11	1236	186	240	37	189	2516
1221	597	246	124	1388	770	279	158	33	2892
748	680	155	132	1322	1208	272	242	52	2973
1250	868	254	170	1476	1108	300	218	50	3085
1	1108	0	218	176	1255	35	248	51	3085
697	922	144	197	1187	1453	238	300	67	3280
1187	1	238	0	1519	322	299	60	67	3281
1279	1241	257	255	1429	1390	286	284	33	3289
656	1104	130	226	928	1369	184	279	37	3467
1031	1100	201	223	1464	1480	289	300	15	3547
8	336	1	72	221	569	46	123	66	4051
198	803	43	154	316	933	68	182	33	4156
34	35	7	7	234	236	46	46	237	4190
1	540	0	110	173	712	32	142	65	4589
1018	41	216	9	1412	406	300	87	2	4593
963	273	195	59	1142	484	231	103	63	4593
1230	65	248	14	1380	215	277	43	33	4866
1	204	0	41	156	365	29	72	63	5242
862	6	167	1	1189	391	236	83	59	5243
366	290	71	62	1486	1250	300	260	60	5243
200	1	40	0	675	411	141	86	61	5244
690	299	150	61	920	569	200	122	205	5774
596	1109	116	227	1097	1453	222	300	208	5775
1021	340	201	67	1506	751	300	152	207	5776
1106	43	224	9	1454	325	294	64	208	5776
609	1284	122	259	811	1491	162	300	209	5776
762	747	150	143	874	850	174	166	188	5836
637	1188	126	240	1012	1468	201	297	249	5851
69	1	12	0	233	152	48	32	266	5877
37	1328	7	274	204	1469	38	300	254	5880
327	561	73	114	501	774	109	158	256	5881
687	55	142	11	1114	496	228	100	256	5882
495	1	97	0	692	226	136	44	252	5883
1131	161	216	34	1318	347	254	72	145	6798
508	729	102	146	810	1016	164	206	144	7214
1090	730	205	141	1289	929	243	179	272	7637
842	7	163	1	1553	634	300	124	198	7678
6	640	1	125	848	1597	163	300	199	7678
475	335	91	70	701	617	137	126	143	7680
1	233	0	48	1047	1458	210	296	200	7680
1057	50	212	10	1481	566	300	115	200	7681
1	566	0	115	907	1515	178	300	201	7681
907	1	178	0	1526	624	299	122	201	7682
1069	674	211	131	1414	1012	274	192	199	7683
875	148	168	32	1069	367	211	78	199	7685
776	718	141	139	1003	959	186	187	136	7797
