b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
581	654	121	133	708	784	151	164	102	39
377	1215	74	257	869	1426	176	300	437	43
561	1	111	0	1467	665	299	134	437	44
8	672	1	135	648	1471	133	300	438	44
651	4	134	1	1439	786	300	163	438	45
24	776	5	161	632	1439	132	299	439	45
640	1	134	0	1453	854	300	174	439	46
395	789	82	150	1202	1321	250	263	406	50
736	1187	152	234	1082	1514	222	300	1041	52
1082	1	222	0	1300	213	269	46	1041	53
602	174	123	36	1239	635	259	133	406	75
398	959	67	190	974	1535	177	300	119	103
974	1	177	0	1613	718	300	136	119	104
65	720	13	148	284	926	59	193	531	175
712	1138	146	224	1075	1512	220	298	260	215
741	635	152	125	1476	1322	300	265	183	217
