b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
164	1035	35	203	447	1243	90	243	86	5
1122	41	226	6	1278	306	260	59	198	26
873	1027	172	199	1157	1240	232	240	196	27
956	1117	190	221	1063	1224	213	244	209	30
198	41	34	7	895	483	170	93	246	37
529	849	103	163	743	1089	141	208	245	39
549	1230	104	244	803	1493	154	297	285	57
1	122	0	26	541	766	107	154	321	60
605	875	115	179	875	1208	167	246	361	74
857	1015	164	192	1111	1406	212	268	420	90
812	399	151	76	975	920	184	180	434	100
1028	803	188	133	1216	1085	224	187	460	107
1	1234	0	229	164	1632	31	300	467	113
207	622	41	113	508	1027	99	193	504	114
1222	410	227	84	1649	978	298	182	522	124
1	1264	0	246	135	1406	27	275	533	130
897	453	166	88	1326	1051	245	208	560	137
1	238	0	45	532	620	99	117	573	140
629	1	123	0	1097	540	215	108	579	141
1282	305	232	59	1554	551	285	105	620	145
1082	442	209	85	1471	686	285	131	652	149
602	1191	112	217	820	1378	150	248	642	151
1326	1484	251	266	1547	1618	295	293	695	159
423	103	71	21	658	305	115	59	744	164
1348	55	262	9	1515	257	292	46	716	165
123	251	20	46	925	959	163	173	875	179
647	1183	120	210	1194	1684	216	298	908	181
728	196	140	36	1301	794	251	148	968	186
731	1421	134	265	960	1604	177	299	1044	193
224	903	41	161	582	1245	109	225	1053	194
1042	434	196	81	1570	1315	292	241	1083	195
696	480	128	81	1414	1073	261	194	1211	205
708	687	133	124	1205	1013	223	184	1407	211
637	1286	115	231	891	1468	155	261	1537	214
970	1399	173	258	1399	1609	253	298	1484	215
531	295	98	56	770	537	140	99	1567	215
1136	1079	208	197	1306	1261	236	228	1572	217
827	379	154	68	993	506	185	92	1697	220
315	575	57	107	1397	863	261	160	1748	221
1	539	0	92	84	630	21	115	1797	225
472	498	90	83	1145	1056	215	191	1863	225
701	1079	125	191	1070	1589	191	281	1890	230
495	446	99	79	675	579	132	105	2004	233
444	1052	82	193	605	1200	114	222	2159	236
852	230	160	41	1452	454	274	82	2236	238
