b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
242	1091	41	205	449	1298	77	241	735	16
5	1364	1	270	145	1502	31	300	31	1101
361	737	67	149	478	878	92	178	933	1361
776	1301	142	246	973	1450	185	279	359	2655
1159	382	237	72	1362	562	282	113	758	2970
834	262	160	49	980	405	189	78	236	4942
597	70	115	13	833	306	162	61	76	5140
1154	337	226	64	1345	492	270	98	431	5288
715	169	142	33	1152	902	228	176	685	5373
862	936	172	182	1207	1140	247	225	510	7052
1201	811	231	156	1535	1148	298	222	711	7542
971	54	196	10	1260	380	252	76	422	8867
933	629	179	122	1036	722	204	145	27	8928
672	4	143	1	1222	580	264	130	312	9300
1116	1353	236	265	1247	1503	265	296	565	9560
1317	907	243	175	1512	1145	290	232	934	9973
1123	1029	216	207	1390	1264	275	261	304	10332
539	1196	101	243	753	1451	149	300	636	10618
209	1220	39	219	501	1439	101	269	902	12664
