b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1020	1148	207	248	1292	1397	265	300	282	1
194	745	39	147	479	1064	99	216	266	14
194	69	38	11	701	607	145	122	524	17
401	967	81	187	985	1456	198	288	589	30
855	249	177	54	1173	585	252	131	229	51
687	931	138	192	1112	1289	225	267	28	54
892	1	179	0	1126	221	225	44	380	61
354	856	70	175	590	1109	121	229	459	63
1	708	0	137	433	1123	93	227	457	80
969	682	188	135	1499	1236	299	246	205	86
209	652	41	135	735	1048	151	218	501	90
791	12	160	2	1253	625	255	128	473	91
924	787	187	161	1214	1082	246	221	473	91
1202	551	242	110	1472	858	299	172	309	98
553	11	110	2	848	272	170	56	209	122
