b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
975	1	198	0	1155	559	240	126	342	702
870	982	167	201	1271	1401	250	290	439	1146
870	350	167	68	1271	775	250	160	439	1147
1020	6	194	1	1228	214	242	49	602	1511
4	667	1	134	364	1209	71	240	191	3670
11	85	3	17	364	545	71	109	191	3671
96	1270	19	252	236	1470	45	290	142	3851
737	142	147	30	990	397	198	82	498	8412
265	77	52	14	527	386	96	70	501	13132
1183	1274	233	250	1360	1490	270	295	335	18725
1420	1138	274	231	1550	1294	298	261	553	20695
1020	641	194	139	1228	915	242	202	602	22135
332	544	66	109	568	845	109	166	78	24164
1020	1037	194	214	1228	1307	242	275	602	24361
536	671	105	138	886	1078	177	221	334	26843
660	861	132	172	1300	1477	258	293	592	27084
543	481	109	98	1264	1472	252	296	592	27085
