b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
1150	165	228	36	1445	592	287	121	76	102
402	591	78	121	852	1045	171	215	156	2261
845	748	176	137	1028	931	213	174	171	420
58	656	10	117	415	999	81	185	198	61
386	677	79	136	553	876	116	179	529	1534
567	1364	119	269	731	1520	153	300	529	1707
502	922	100	179	674	1162	136	226	581	997
561	827	107	155	947	1187	191	232	721	1088
1245	227	235	45	1407	416	266	82	806	95
374	6	80	1	1532	1009	299	187	1069	879
1	1009	0	187	276	1327	56	249	1070	879
508	1128	107	210	842	1314	171	248	1081	16
40	416	8	82	863	1214	176	244	1081	25
239	556	40	112	544	861	105	178	1082	1467
1183	31	246	6	1435	250	300	52	1126	1581
1162	1130	241	208	1435	1417	300	267	1126	1695
151	915	31	182	579	1352	124	273	1127	1581
1	1417	0	267	138	1562	28	295	1127	1695
171	1155	33	209	409	1349	83	247	1543	1496
258	1184	53	224	956	1589	184	300	1572	1710
410	162	79	33	728	559	144	112	1647	256
982	527	200	92	1491	991	299	180	1649	2169
944	493	189	92	1424	890	292	176	1661	2170
110	1185	20	235	290	1372	56	272	1673	2267
929	1304	181	251	1123	1535	219	297	2065	1673
124	1	26	0	538	445	107	88	2133	167
1072	755	208	144	1506	1173	300	231	2395	1469
1	1140	0	223	360	1481	77	294	2396	1469
953	1268	196	248	1122	1452	237	292	2638	164
1206	1321	246	239	1463	1575	300	292	2812	1663
319	625	65	120	544	865	107	164	2812	1664
35	1	7	0	247	214	47	40	2813	1664
395	797	77	164	678	1103	137	228	3485	97
808	1333	165	260	1006	1533	204	300	3486	163
122	1	25	0	466	348	92	69	3617	146
929	1414	186	255	1107	1592	224	293	3687	366
1038	604	201	103	1341	907	266	168	3826	931
348	1160	68	220	468	1280	93	245	3960	159
1030	108	202	18	1457	436	287	85	3969	368
222	1031	50	188	590	1400	121	259	4104	947
756	440	143	88	1135	806	218	157	4404	104
733	843	137	152	1382	1563	271	300	4485	105
417	1177	80	247	622	1405	128	300	4780	96
622	1	128	0	752	131	157	29	4780	97
1296	267	258	46	1500	542	300	103	5179	412
1	542	0	103	1434	1515	283	300	5180	412
546	289	109	54	943	738	192	144	5344	106
687	726	133	132	1534	1551	300	291	5394	1539
