b1	b2	bw1	bw2	e1	e2	ew1	ew2	seq1	seq2
536	173	107	35	1225	583	238	110	4300	62
60	62	13	13	694	558	146	119	3214	84
474	390	98	82	1496	1085	300	216	3216	84
1136	1	232	0	1435	256	296	54	3217	84
71	384	13	81	479	813	96	167	3218	84
238	391	52	74	427	580	91	113	3488	88
364	181	71	34	562	379	109	72	3717	106
275	946	52	175	614	1285	117	240	3539	108
828	23	173	5	999	188	207	37	171	116
235	1172	45	223	416	1353	76	254	1583	126
1242	28	251	5	1464	268	297	55	2574	129
1	268	0	55	545	830	115	174	2575	129
1083	343	224	67	1435	626	297	126	1490	149
452	1018	91	204	806	1402	158	279	159	156
407	213	80	39	692	497	138	97	3961	173
539	461	105	85	701	633	139	119	4260	175
1193	252	247	48	1372	431	280	81	3963	176
951	434	190	84	1407	935	280	184	826	189
892	1385	184	257	1070	1595	220	300	1272	199
280	485	54	94	681	913	134	179	2530	219
6	154	1	29	152	317	33	63	3814	225
